date,ts_code,name,action,price,shares,amount,commission,reason,category
2019-06-28,601567.SH,三星电气,sell,5.794,3700,21438.54,42.88,减仓，评分65(👀 观察等待)，权重5.3%→2.9%,防御红利
2019-06-28,002756.SZ,永兴材料,sell,14.585,2400,35004.96,70.01,清仓，评分81(🔥 大胆攒股)，低于观察阈值，当前权重3.7%,周期资源红利
2019-06-28,000513.SZ,丽珠集团,sell,33.197,800,26557.42,53.11,减仓，评分78(✅ 积极布局)，权重8.5%→5.3%,消费红利
2019-06-28,601098.SH,中南传媒,sell,12.627,3200,40407.55,80.82,清仓，评分59(👀 观察等待)，低于观察阈值，当前权重4.3%,消费红利
2019-06-28,603766.SH,隆鑫通用,sell,4.186,7100,29719.25,59.44,减仓，评分85(🔥 大胆攒股)，权重11.2%→8.0%,消费红利
2019-06-28,600398.SH,海澜之家,sell,9.061,4500,40774.19,81.55,清仓，评分51(👀 观察等待)，低于观察阈值，当前权重4.4%,消费红利
2019-06-28,002335.SZ,科华数据,sell,17.632,2300,40554.4,81.11,减仓，评分76(✅ 积极布局)，权重10.3%→5.9%,防御红利
2019-06-28,002517.SZ,恺英网络,buy,3.193,12800,40872.83,40.87,加仓，评分81(🔥 大胆攒股)，股息率6.90%，权重4.4%→8.8%,防御红利
2019-06-28,600177.SH,雅戈尔,buy,6.356,7000,44494.45,44.49,加仓，评分85(🔥 大胆攒股)，股息率7.87%，权重3.2%→8.0%,消费红利
2019-06-28,600153.SH,建发股份,buy,8.889,6100,54222.17,54.22,新买入，评分76(✅ 积极布局)，股息率5.63%，目标权重5.9%,基础设施红利
2019-06-28,603156.SH,养元饮品,buy,37.117,1200,44540.5,44.54,加仓，评分85(🔥 大胆攒股)，股息率8.09%，权重3.2%→8.0%,消费红利
2019-06-28,600704.SH,物产中大,buy,5.425,5000,27127.1,27.13,新买入，评分58(👀 观察等待)，股息率4.61%，目标权重2.9%,基础设施红利
2019-06-28,000039.SZ,中集集团,buy,10.691,2500,26726.7,26.73,新买入，评分65(👀 观察等待)，股息率5.15%，目标权重2.9%,基础设施红利
2019-06-28,603444.SH,吉比特,buy,210.17,100,21017.0,21.02,新买入，评分59(👀 观察等待)，股息率4.76%，目标权重2.9%,防御红利
2019-06-28,511880.SH,银华日利,buy,115.304,200,23060.76,23.06,闲置现金扫入,现金管理
2019-09-27,000513.SZ,丽珠集团,sell,26.224,1600,41958.0,83.92,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重4.8%,消费红利
2019-09-27,600704.SH,物产中大,sell,5.514,5000,27572.4,55.14,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重3.1%,基础设施红利
2019-09-27,603444.SH,吉比特,sell,272.168,100,27216.76,54.43,清仓，评分37(⏸️ 暂缓)，低于观察阈值，当前权重3.1%,防御红利
2019-09-27,603699.SH,纽威股份,buy,11.562,4100,47402.35,47.4,新买入，评分77(✅ 积极布局)，股息率5.80%，目标权重5.5%,防御红利
2019-09-27,601155.SH,新城控股,buy,27.417,1700,46609.56,46.61,新买入，评分70(✅ 积极布局)，股息率5.48%，目标权重5.5%,基础设施红利
2019-09-27,600170.SH,上海建工,buy,3.353,7200,24144.12,24.14,新买入，评分50(👀 观察等待)，股息率4.03%，目标权重2.7%,基础设施红利
2019-09-27,511880.SH,银华日利,sell,115.731,200,23146.29,46.29,释放现金用于调仓,现金管理
2019-09-27,000039.SZ,中集集团,buy,9.79,2400,23495.47,23.5,加仓，评分76(✅ 积极布局)，股息率5.62%，权重2.8%→5.5%,基础设施红利
2019-12-27,603699.SH,纽威股份,sell,13.756,2200,30263.71,60.53,减仓，评分63(👀 观察等待)，权重6.2%→2.8%,防御红利
2019-12-27,601155.SH,新城控股,sell,37.363,1700,63516.42,127.03,清仓，评分50(👀 观察等待)，低于观察阈值，当前权重7.0%,基础设施红利
2019-12-27,600170.SH,上海建工,sell,3.487,7200,25102.87,50.21,清仓，评分43(⏸️ 暂缓)，低于观察阈值，当前权重2.8%,基础设施红利
2019-12-27,600516.SH,方大炭素,sell,12.288,1500,18431.55,36.86,清仓，评分85(🔥 大胆攒股)，低于观察阈值，当前权重2.0%,周期资源红利
2019-12-27,002372.SZ,伟星新材,buy,12.683,2000,25365.34,25.37,新买入，评分59(👀 观察等待)，股息率4.74%，目标权重2.8%,防御红利
2019-12-27,002335.SZ,科华数据,buy,16.366,1400,22912.89,22.91,加仓，评分81(🔥 大胆攒股)，股息率6.12%，权重5.8%→8.4%,防御红利
2019-12-27,600566.SH,济川药业,buy,23.313,1900,44295.25,44.3,新买入，评分65(✅ 积极布局)，股息率5.28%，目标权重4.9%,消费红利
2019-12-27,511880.SH,银华日利,buy,116.659,300,34997.65,35.0,闲置现金扫入,现金管理
2020-03-27,603699.SH,纽威股份,sell,13.157,1900,24997.98,50.0,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重2.9%,防御红利
2020-03-27,601567.SH,三星电气,sell,7.622,4800,36587.38,73.17,清仓，评分44(⏸️ 暂缓)，低于观察阈值，当前权重4.2%,防御红利
2020-03-27,600177.SH,雅戈尔,sell,6.513,3500,22797.18,45.59,减仓，评分85(🔥 大胆攒股)，权重8.8%→6.2%,消费红利
2020-03-27,002335.SZ,科华数据,sell,24.316,4600,111852.04,223.7,清仓，评分50(👀 观察等待)，低于观察阈值，当前权重12.9%,防御红利
2020-03-27,600566.SH,济川药业,sell,21.708,1900,41245.71,82.49,清仓，评分76(✅ 积极布局)，低于观察阈值，当前权重4.8%,消费红利
2020-03-27,002372.SZ,伟星新材,buy,11.181,2100,23480.46,23.48,加仓，评分70(✅ 积极布局)，股息率5.37%，权重2.6%→5.3%,防御红利
2020-03-27,600153.SH,建发股份,buy,7.457,3200,23863.84,23.86,加仓，评分81(🔥 大胆攒股)，股息率6.71%，权重5.2%→8.0%,基础设施红利
2020-03-27,601098.SH,中南传媒,buy,10.541,3300,34783.75,34.78,新买入，评分77(✅ 积极布局)，股息率5.79%，目标权重4.1%,消费红利
2020-03-27,600398.SH,海澜之家,buy,6.416,5500,35290.25,35.29,新买入，评分78(✅ 积极布局)，股息率5.93%，目标权重4.1%,消费红利
2020-03-27,600606.SH,绿地控股,buy,5.566,8300,46194.15,46.19,新买入，评分70(✅ 积极布局)，股息率5.40%，目标权重5.3%,基础设施红利
2020-03-27,600704.SH,物产中大,buy,4.705,9800,46106.06,46.11,新买入，评分70(✅ 积极布局)，股息率5.32%，目标权重5.3%,基础设施红利
2020-03-27,000039.SZ,中集集团,buy,7.728,4000,30910.88,30.91,加仓，评分85(🔥 大胆攒股)，股息率7.12%，权重4.4%→8.0%,基础设施红利
2020-03-27,511880.SH,银华日利,sell,117.122,200,23424.49,46.85,释放现金用于调仓,现金管理
2020-03-27,600816.SH,建元信托,buy,2.502,10900,27277.25,27.28,加仓，评分85(🔥 大胆攒股)，股息率20.00%，权重4.8%→8.0%,金融红利
2020-06-26,002517.SZ,恺英网络,sell,3.886,12600,48964.99,97.93,减仓，评分76(✅ 积极布局)，权重10.8%→5.5%,防御红利
2020-06-26,002372.SZ,伟星新材,sell,11.798,1900,22416.56,44.83,减仓，评分56(👀 观察等待)，权重5.2%→2.8%,防御红利
2020-06-26,600177.SH,雅戈尔,sell,6.004,8200,49232.72,98.47,清仓，评分36(⏸️ 暂缓)，低于观察阈值，当前权重5.3%,消费红利
2020-06-26,600153.SH,建发股份,sell,8.881,3500,31083.89,62.17,减仓，评分76(✅ 积极布局)，权重8.9%→5.5%,基础设施红利
2020-06-26,000039.SZ,中集集团,sell,7.383,8900,65705.23,131.41,清仓，评分23(🚫 回避)，低于观察阈值，当前权重7.1%,基础设施红利
2020-06-26,603699.SH,纽威股份,buy,16.016,1500,24024.0,24.02,新买入，评分51(👀 观察等待)，股息率4.19%，目标权重2.8%,防御红利
2020-06-26,603156.SH,养元饮品,buy,21.121,1300,27457.43,27.46,加仓，评分85(🔥 大胆攒股)，股息率9.48%，权重4.5%→7.5%,消费红利
2020-06-26,600398.SH,海澜之家,buy,5.916,6300,37270.23,37.27,加仓，评分81(🔥 大胆攒股)，股息率6.43%，权重3.5%→7.5%,消费红利
2020-06-26,600704.SH,物产中大,buy,4.224,8300,35061.03,35.06,加仓，评分81(🔥 大胆攒股)，股息率5.92%，权重4.5%→8.3%,基础设施红利
2020-06-26,600970.SH,中材国际,buy,5.355,9500,50875.82,50.88,新买入，评分76(✅ 积极布局)，股息率5.63%，目标权重5.5%,基础设施红利
2020-06-26,511880.SH,银华日利,buy,117.813,400,47125.03,47.13,闲置现金扫入,现金管理
2020-09-25,002517.SZ,恺英网络,sell,5.754,13200,75955.97,151.91,清仓，评分43(⏸️ 暂缓)，低于观察阈值，当前权重7.5%,防御红利
2020-09-25,603699.SH,纽威股份,sell,14.366,1500,21548.43,43.1,清仓，评分29(🚫 回避)，低于观察阈值，当前权重2.1%,防御红利
2020-09-25,600873.SH,梅花生物,sell,5.265,15700,82656.26,165.31,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重8.1%,消费红利
2020-09-25,002372.SZ,伟星新材,sell,15.065,2200,33142.82,66.29,清仓，评分36(⏸️ 暂缓)，低于观察阈值，当前权重3.3%,防御红利
2020-09-25,603766.SH,隆鑫通用,sell,3.816,17900,68309.62,136.62,清仓，评分28(🚫 回避)，低于观察阈值，当前权重6.7%,消费红利
2020-09-25,600398.SH,海澜之家,sell,6.214,11800,73322.6,146.65,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重7.2%,消费红利
2020-09-25,600970.SH,中材国际,sell,6.763,4700,31787.18,63.57,减仓，评分57(👀 观察等待)，权重6.3%→3.2%,基础设施红利
2020-09-25,601019.SH,山东出版,buy,6.186,10400,64336.27,64.34,新买入，评分69(✅ 积极布局)，股息率5.18%，目标权重6.3%,消费红利
2020-09-25,600578.SH,京能电力,buy,2.953,10800,31891.86,31.89,新买入，评分50(👀 观察等待)，股息率4.07%，目标权重3.2%,基础设施红利
2020-09-25,601155.SH,新城控股,buy,34.885,900,31396.37,31.4,新买入，评分63(👀 观察等待)，股息率4.88%，目标权重3.2%,基础设施红利
2020-09-25,600170.SH,上海建工,buy,3.093,10400,32168.14,32.17,新买入，评分58(👀 观察等待)，股息率4.53%，目标权重3.2%,基础设施红利
2020-09-25,601098.SH,中南传媒,buy,10.761,2600,27977.95,27.98,加仓，评分77(✅ 积极布局)，股息率5.77%，权重3.5%→6.3%,消费红利
2020-09-25,603858.SH,步长制药,buy,25.055,900,22549.53,22.55,加仓，评分81(🔥 大胆攒股)，股息率6.45%，权重7.1%→9.5%,消费红利
2020-09-25,000429.SZ,粤高速Ａ,buy,6.797,5000,33983.95,33.98,加仓，评分81(🔥 大胆攒股)，股息率6.22%，权重6.1%→9.5%,基础设施红利
2020-09-25,000537.SZ,绿发电力,buy,6.837,4700,32133.1,32.13,新买入，评分57(👀 观察等待)，股息率4.39%，目标权重3.2%,基础设施红利
2020-09-25,600606.SH,绿地控股,buy,6.476,6600,42744.7,42.74,加仓，评分81(🔥 大胆攒股)，股息率6.18%，权重5.3%→9.5%,基础设施红利
2020-09-25,600566.SH,济川药业,buy,22.012,2900,63834.77,63.83,新买入，评分76(✅ 积极布局)，股息率5.59%，目标权重6.3%,消费红利
2020-09-25,600816.SH,建元信托,buy,1.902,23000,43743.7,43.74,加仓，评分85(🔥 大胆攒股)，股息率26.32%，权重5.2%→9.5%,金融红利
2020-12-25,600578.SH,京能电力,sell,3.047,10800,32907.06,65.81,清仓，评分44(⏸️ 暂缓)，低于观察阈值，当前权重3.5%,基础设施红利
2020-12-25,600170.SH,上海建工,sell,3.007,10400,31272.7,62.55,清仓，评分62(👀 观察等待)，低于观察阈值，当前权重3.3%,基础设施红利
2020-12-25,000537.SZ,绿发电力,sell,6.184,4700,29063.91,58.13,清仓，评分63(👀 观察等待)，低于观察阈值，当前权重3.1%,基础设施红利
2020-12-25,600704.SH,物产中大,sell,4.346,5900,25639.33,51.28,减仓，评分77(✅ 积极布局)，权重8.3%→5.6%,基础设施红利
2020-12-25,600970.SH,中材国际,sell,6.793,4800,32607.36,65.21,清仓，评分57(👀 观察等待)，低于观察阈值，当前权重3.5%,基础设施红利
2020-12-25,002517.SZ,恺英网络,buy,4.545,5800,26358.33,26.36,新买入，评分63(👀 观察等待)，股息率4.85%，目标权重2.8%,防御红利
2020-12-25,600873.SH,梅花生物,buy,4.655,11300,52597.55,52.6,新买入，评分76(✅ 积极布局)，股息率5.59%，目标权重5.6%,消费红利
2020-12-25,600153.SH,建发股份,buy,8.268,3700,30592.56,30.59,加仓，评分81(🔥 大胆攒股)，股息率6.05%，权重5.1%→8.4%,基础设施红利
2020-12-25,600720.SH,中交设计,buy,13.534,1900,25713.69,25.71,新买入，评分56(👀 观察等待)，股息率4.29%，目标权重2.8%,基础设施红利
2020-12-25,511880.SH,银华日利,sell,118.748,100,11874.84,23.75,释放现金用于调仓,现金管理
2020-12-25,600642.SH,申能股份,buy,5.455,4800,26186.16,26.19,新买入，评分50(👀 观察等待)，股息率4.04%，目标权重2.8%,基础设施红利
2020-12-25,511880.SH,银华日利,sell,118.748,200,23749.68,47.5,释放现金用于调仓,现金管理
2020-12-25,601098.SH,中南传媒,buy,9.63,2300,22148.13,22.15,加仓，评分81(🔥 大胆攒股)，股息率6.44%，权重6.0%→8.4%,消费红利
2020-12-25,511880.SH,银华日利,sell,118.748,200,23749.68,47.5,释放现金用于调仓,现金管理
2020-12-25,600566.SH,济川药业,buy,20.42,900,18378.36,18.38,加仓，评分81(🔥 大胆攒股)，股息率6.03%，权重6.3%→8.4%,消费红利
2021-03-26,600873.SH,梅花生物,sell,5.644,11300,63781.15,127.56,清仓，评分62(👀 观察等待)，低于观察阈值，当前权重6.2%,消费红利
2021-03-26,601155.SH,新城控股,sell,45.435,900,40891.07,81.78,清仓，评分43(⏸️ 暂缓)，低于观察阈值，当前权重4.0%,基础设施红利
2021-03-26,600642.SH,申能股份,sell,5.794,4800,27812.16,55.62,清仓，评分43(⏸️ 暂缓)，低于观察阈值，当前权重2.7%,基础设施红利
2021-03-26,600816.SH,建元信托,sell,2.288,13900,31799.17,63.6,减仓，评分85(🔥 大胆攒股)，权重11.2%→8.1%,金融红利
2021-03-26,600170.SH,上海建工,buy,3.003,9300,27927.9,27.93,新买入，评分62(👀 观察等待)，股息率4.67%，目标权重2.7%,基础设施红利
2021-03-26,000537.SZ,绿发电力,buy,5.836,9600,56023.97,56.02,新买入，评分69(✅ 积极布局)，股息率5.15%，目标权重5.4%,基础设施红利
