index_code,con_code,trade_date,weight
000985.SH,002195.SZ,20150630,0.044
000985.SH,002261.SZ,20150630,0.044
000985.SH,300251.SZ,20150630,0.044
000985.SH,002344.SZ,20150630,0.044
000985.SH,300101.SZ,20150630,0.044
000985.SH,600063.SH,20150630,0.044
000985.SH,600677.SH,20150630,0.044
000985.SH,300159.SZ,20150630,0.044
000985.SH,601717.SH,20150630,0.043
000985.SH,300359.SZ,20150630,0.043
000985.SH,300383.SZ,20150630,0.043
000985.SH,000539.SZ,20150630,0.043
000985.SH,600138.SH,20150630,0.043
000985.SH,600763.SH,20150630,0.043
000985.SH,600487.SH,20150630,0.043
000985.SH,002428.SZ,20150630,0.043
000985.SH,600064.SH,20150630,0.043
000985.SH,600270.SH,20150630,0.043
000985.SH,600582.SH,20150630,0.043
000985.SH,600536.SH,20150630,0.043
000985.SH,600595.SH,20150630,0.043
000985.SH,600815.SH,20150630,0.043
000985.SH,300133.SZ,20150630,0.043
000985.SH,600805.SH,20150630,0.043
000985.SH,000786.SZ,20150630,0.043
000985.SH,000652.SZ,20150630,0.043
000985.SH,600835.SH,20150630,0.043
000985.SH,002367.SZ,20150630,0.043
000985.SH,000767.SZ,20150630,0.043
000985.SH,002690.SZ,20150630,0.043
000985.SH,000933.SZ,20150630,0.043
000985.SH,002271.SZ,20150630,0.043
000985.SH,600067.SH,20150630,0.042
000985.SH,600555.SH,20150630,0.042
000985.SH,600418.SH,20150630,0.042
000985.SH,600409.SH,20150630,0.042
000985.SH,600120.SH,20150630,0.042
000985.SH,002595.SZ,20150630,0.042
000985.SH,300347.SZ,20150630,0.042
000985.SH,600713.SH,20150630,0.042
000985.SH,600626.SH,20150630,0.041
000985.SH,600855.SH,20150630,0.041
000985.SH,600416.SH,20150630,0.041
000985.SH,603766.SH,20150630,0.041
000985.SH,002491.SZ,20150630,0.041
000985.SH,002339.SZ,20150630,0.041
000985.SH,600210.SH,20150630,0.041
000985.SH,600236.SH,20150630,0.041
000985.SH,000158.SZ,20150630,0.041
000985.SH,300166.SZ,20150630,0.041
000985.SH,600728.SH,20150630,0.041
000985.SH,002665.SZ,20150630,0.041
000985.SH,600711.SH,20150630,0.041
000985.SH,002462.SZ,20150630,0.041
000985.SH,600183.SH,20150630,0.041
000985.SH,002067.SZ,20150630,0.041
000985.SH,300026.SZ,20150630,0.041
000985.SH,600006.SH,20150630,0.041
000985.SH,000830.SZ,20150630,0.041
000985.SH,600422.SH,20150630,0.041
000985.SH,600291.SH,20150630,0.04
000985.SH,600790.SH,20150630,0.04
000985.SH,600160.SH,20150630,0.04
000985.SH,600580.SH,20150630,0.04
000985.SH,002467.SZ,20150630,0.04
000985.SH,002288.SZ,20150630,0.04
000985.SH,000829.SZ,20150630,0.04
000985.SH,002092.SZ,20150630,0.04
000985.SH,600666.SH,20150630,0.04
000985.SH,600557.SH,20150630,0.04
000985.SH,002649.SZ,20150630,0.04
000985.SH,002179.SZ,20150630,0.04
000985.SH,600039.SH,20150630,0.04
000985.SH,002099.SZ,20150630,0.04
000985.SH,600458.SH,20150630,0.04
000985.SH,600648.SH,20150630,0.04
000985.SH,002244.SZ,20150630,0.04
000985.SH,300012.SZ,20150630,0.04
000985.SH,600726.SH,20150630,0.04
000985.SH,002570.SZ,20150630,0.04
000985.SH,600812.SH,20150630,0.04
000985.SH,300088.SZ,20150630,0.039
000985.SH,002029.SZ,20150630,0.039
000985.SH,600161.SH,20150630,0.039
000985.SH,000519.SZ,20150630,0.039
000985.SH,300028.SZ,20150630,0.039
000985.SH,300271.SZ,20150630,0.039
000985.SH,600495.SH,20150630,0.039
000985.SH,600481.SH,20150630,0.039
000985.SH,000572.SZ,20150630,0.039
000985.SH,300333.SZ,20150630,0.039
000985.SH,300182.SZ,20150630,0.039
000985.SH,600614.SH,20150630,0.039
000985.SH,002466.SZ,20150630,0.039
000985.SH,600687.SH,20150630,0.039
000985.SH,600777.SH,20150630,0.039
000985.SH,002471.SZ,20150630,0.039
000985.SH,000959.SZ,20150630,0.039
000985.SH,600699.SH,20150630,0.039
000985.SH,300189.SZ,20150630,0.038
000985.SH,000528.SZ,20150630,0.038
000985.SH,000973.SZ,20150630,0.038
000985.SH,300090.SZ,20150630,0.038
000985.SH,002414.SZ,20150630,0.038
000985.SH,601058.SH,20150630,0.038
000985.SH,002444.SZ,20150630,0.038
000985.SH,600851.SH,20150630,0.038
000985.SH,300011.SZ,20150630,0.038
000985.SH,300136.SZ,20150630,0.038
000985.SH,000697.SZ,20150630,0.038
000985.SH,002168.SZ,20150630,0.038
000985.SH,300032.SZ,20150630,0.038
000985.SH,600185.SH,20150630,0.038
000985.SH,002001.SZ,20150630,0.038
000985.SH,002508.SZ,20150630,0.038
000985.SH,600380.SH,20150630,0.038
000985.SH,000150.SZ,20150630,0.038
000985.SH,002052.SZ,20150630,0.038
000985.SH,002298.SZ,20150630,0.038
000985.SH,000090.SZ,20150630,0.038
000985.SH,002577.SZ,20150630,0.037
000985.SH,600707.SH,20150630,0.037
000985.SH,000669.SZ,20150630,0.037
000985.SH,002440.SZ,20150630,0.037
000985.SH,002299.SZ,20150630,0.037
000985.SH,002544.SZ,20150630,0.037
000985.SH,000685.SZ,20150630,0.037
000985.SH,600267.SH,20150630,0.037
000985.SH,600289.SH,20150630,0.037
000985.SH,002603.SZ,20150630,0.037
000985.SH,300266.SZ,20150630,0.037
000985.SH,002642.SZ,20150630,0.037
000985.SH,600399.SH,20150630,0.037
