ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20211029,3034.7997,,,,3015.6692,19.1305,0.6344,24615244.12,22574350.331
932368.CSI,20211101,3033.1293,,,,3034.7997,-1.6704,-0.055,25213096.55,22966905.477
932368.CSI,20211102,2975.6638,,,,3033.1293,-57.4655,-1.8946,28205669.31,25470273.179
932368.CSI,20211103,3020.1125,,,,2975.6638,44.4487,1.4937,21551962.87,21988607.277
932368.CSI,20211104,3004.2442,,,,3020.1125,-15.8683,-0.5254,21032331.47,20747008.53
932368.CSI,20211105,2951.9828,,,,3004.2442,-52.2614,-1.7396,23666367.9,20668996.176
932368.CSI,20211108,2961.7974,,,,2951.9828,9.8146,0.3325,18464528.24,16174368.396
932368.CSI,20211109,2947.6974,,,,2961.7974,-14.1,-0.4761,16404172.69,13899260.68
932368.CSI,20211110,2924.5436,,,,2947.6974,-23.1538,-0.7855,23221726.36,18333848.413
932368.CSI,20211111,2951.5818,,,,2924.5436,27.0382,0.9245,22590276.84,18352043.326
932368.CSI,20211112,2925.0378,,,,2951.5818,-26.544,-0.8993,21669838.25,18157479.773
932368.CSI,20211115,2929.3434,,,,2925.0378,4.3056,0.1472,20667730.56,20913739.132
932368.CSI,20211116,2914.5604,,,,2929.3434,-14.783,-0.5047,19428507.53,18522033.664
932368.CSI,20211117,2922.3871,,,,2914.5604,7.8267,0.2685,16751394.75,15171076.387
932368.CSI,20211118,2912.0962,,,,2922.3871,-10.2909,-0.3521,22023368.43,19415393.552
932368.CSI,20211119,2958.2504,,,,2912.0962,46.1542,1.5849,22613443.84,19722047.032
932368.CSI,20211122,2962.1272,,,,2958.2504,3.8768,0.1311,21504982.78,19736514.316
932368.CSI,20211123,2975.051,,,,2962.1272,12.9238,0.4363,25285105.77,19753527.441
932368.CSI,20211124,2985.9319,,,,2975.051,10.8809,0.3657,22002992.21,18639365.88
932368.CSI,20211125,2970.1058,,,,2985.9319,-15.8261,-0.53,19604374.72,18373019.984
932368.CSI,20211126,2947.5115,,,,2970.1058,-22.5943,-0.7607,19053183.55,16995177.452
932368.CSI,20211129,2950.8715,,,,2947.5115,3.36,0.114,23594607.33,24629529.257
932368.CSI,20211130,2975.3983,,,,2950.8715,24.5268,0.8312,24347848.74,27530431.926
932368.CSI,20211201,3020.284,,,,2975.3983,44.8857,1.5086,22950770.22,25396608.051
932368.CSI,20211202,3066.4262,,,,3020.284,46.1422,1.5277,26905477.06,31394944.808
932368.CSI,20211203,3125.364,,,,3066.4262,58.9378,1.922,30855819.6,31039632.548
932368.CSI,20211206,3137.4318,,,,3125.364,12.0678,0.3861,36937452.79,36512223.864
932368.CSI,20211207,3178.3219,,,,3137.4318,40.8901,1.3033,39438188.7,38345857.967
932368.CSI,20211208,3182.8947,,,,3178.3219,4.5728,0.1439,30264946.54,30925296.176
932368.CSI,20211209,3182.1566,,,,3182.8947,-0.7381,-0.0232,27826713.48,27822386.991
932368.CSI,20211210,3166.2215,,,,3182.1566,-15.9351,-0.5008,29130764.65,29880019.247
932368.CSI,20211213,3179.4094,,,,3166.2215,13.1879,0.4165,32529717.7,32651378.203
932368.CSI,20211214,3109.4656,,,,3179.4094,-69.9438,-2.1999,29606940.59,29258108.258
932368.CSI,20211215,3128.5748,,,,3109.4656,19.1092,0.6145,23668181.98,23859103.598
932368.CSI,20211216,3238.2465,,,,3128.5748,109.6717,3.5055,34876302.14,31511350.638
932368.CSI,20211217,3212.964,,,,3238.2465,-25.2825,-0.7807,33448768.34,31348691.859
932368.CSI,20211220,3174.6187,,,,3212.964,-38.3453,-1.1935,29909079.74,29314258.869
932368.CSI,20211221,3205.7389,,,,3174.6187,31.1202,0.9803,27108512.24,24094893.815
932368.CSI,20211222,3193.6085,,,,3205.7389,-12.1304,-0.3784,24928082.2,23117617.268
932368.CSI,20211223,3242.4316,,,,3193.6085,48.8231,1.5288,32998457.36,29709982.776
932368.CSI,20211224,3181.9521,,,,3242.4316,-60.4795,-1.8653,27860232.54,25675840.506
932368.CSI,20211227,3186.7064,,,,3181.9521,4.7543,0.1494,23423602.27,21964520.928
932368.CSI,20211228,3168.5263,,,,3186.7064,-18.1801,-0.5705,24754686.42,24798754.231
932368.CSI,20211229,3149.3885,,,,3168.5263,-19.1378,-0.604,19996212.77,19975153.749
932368.CSI,20211230,3135.2105,,,,3149.3885,-14.178,-0.4502,20371356.19,21387542.529
932368.CSI,20211231,3148.0561,,,,3135.2105,12.8456,0.4097,19249426.21,19993898.011
932368.CSI,20220104,3199.8177,,,,3148.0561,51.7616,1.6442,30635574.44,31736358.211
932368.CSI,20220105,3150.8018,,,,3199.8177,-49.0159,-1.5318,27172494.91,26595657.998
