trade_date,close
20190701,4964.4633
20190628,4825.3292
20190627,4832.5628
20190626,4779.1166
20190625,4786.3634
20190624,4836.1233
20190621,4826.3531
20190620,4819.0385
20190619,4677.0665
20190618,4608.2083
20190617,4591.8042
20190614,4591.5443
20190613,4628.2983
20190612,4635.2717
20190611,4670.1916
20190610,4530.519
20190606,4472.5701
20190605,4511.5806
20190604,4512.1924
20190603,4554.2437
20190531,4549.7157
20190530,4561.6051
20190529,4587.1679
20190528,4597.0204
20190527,4551.646
20190524,4495.4839
20190523,4481.8333
20190522,4558.6239
20190521,4580.3366
20190520,4518.6562
20190517,4557.3362
20190516,4676.0893
20190515,4654.9568
20190514,4552.0145
20190513,4581.455
20190510,4658.5373
20190509,4495.1728
20190508,4579.7134
20190507,4646.1603
20190506,4600.729
20190430,4886.1223
20190429,4870.0437
20190426,4856.1861
20190425,4921.7896
20190424,5032.0078
20190423,5018.1514
20190422,5026.3992
20190419,5144.7951
20190418,5084.1278
20190417,5102.5869
20190416,5100.7759
20190415,4962.9855
20190412,4979.3298
20190411,4990.5166
20190410,5100.7106
20190409,5087.7063
20190408,5064.9839
20190404,5069.527
20190403,5019.3865
20190402,4955.9023
20190401,4959.2004
20190329,4832.4267
20190328,4652.7505
20190327,4671.2584
20190326,4617.6637
20190325,4670.5564
20190322,4784.0826
20190321,4787.9385
20190320,4786.1271
20190319,4784.2839
20190318,4806.4777
20190315,4673.2765
20190314,4615.2266
20190313,4647.3072
20190312,4686.1881
20190311,4654.4956
20190308,4564.1803
20190307,4752.9464
20190306,4801.9134
20190305,4761.8854
20190304,4734.5456
20190301,4679.153
20190228,4578.8943
20190227,4590.1523
20190226,4598.0157
20190225,4653.9072
20190222,4391.4917
20190221,4294.9164
20190220,4306.4208
20190219,4291.0517
20190218,4298.7078
20190215,4165.171
20190214,4244.3095
20190213,4237.9311
20190212,4154.7298
20190211,4124.96
20190201,4051.2609
20190131,3994.1686
20190130,3952.8123
20190129,3984.6083
20190128,3971.8932
20190125,3972.7564
20190124,3940.7097
20190123,3918.5926
20190122,3921.4169
20190121,3974.2119
20190118,3952.4268
20190117,3881.62
20190116,3903.1212
20190115,3902.2962
20190114,3827.1869
20190111,3860.8626
20190110,3833.3022
20190109,3840.5249
20190108,3802.135
20190107,3810.3681
20190104,3787.3774
20190103,3698.762
20190102,3704.617
20201231,6790.3916
20201230,6663.246
20201229,6571.0258
20201228,6599.0112
20201225,6569.8225
20201224,6515.098
20201223,6524.36
20201222,6469.1763
20201221,6576.1107
20201218,6515.036
20201217,6537.8526
20201216,6454.9195
20201215,6443.496
20201214,6430.1209
20201211,6371.2173
20201210,6437.0867
20201209,6439.9188
20201208,6527.4486
20201207,6543.517
20201204,6600.4296
20201203,6588.8911
20201202,6602.0301
20201201,6601.9696
20201130,6462.7585
20201127,6489.4853
20201126,6408.7939
20201125,6397.2113
20201124,6479.8119
20201123,6519.8581
20201120,6439.4328
20201119,6419.5033
20201118,6372.1939
20201117,6376.2509
20201116,6388.4772
20201113,6326.8348
20201112,6394.0675
20201111,6387.701
20201110,6451.485
20201109,6487.2647
20201106,6362.7154
20201105,6361.9262
20201104,6268.3804
20201103,6221.3764
