
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
| 9 | 国电电力 | 3.8% | 8.09% | | 潍柴动力 | 324.0% | 853.00% |
| 10 | 上汽集团 | 3.7% | 3.20% | | 中国广核 | 315.0% | 629.00% |

### 2021-09-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国神华 | 10.0% | 13.44% | | 中国神华 | 1000.0% | 1512.00% |
| 2 | 中国石油 | 10.0% | 3.21% | | 中国联通 | 1000.0% | 1397.00% |
| 3 | 中国联通 | 8.2% | 13.92% | | 中远海控 | 825.0% | 954.00% |
| 4 | 中远海控 | 6.5% | 7.68% | | 长江电力 | 805.0% | 617.00% |
| 5 | 长江电力 | 6.3% | 6.16% | | 美的集团 | 536.0% | 390.00% |
| 6 | 中国石化 | 6.1% | 2.99% | | 中国中冶 | 522.0% | 581.00% |
| 7 | 美的集团 | 4.2% | 3.77% | | 国电电力 | 484.0% | 785.00% |
| 8 | 中国中冶 | 4.1% | 5.64% | | 潍柴动力 | 369.0% | 828.00% |
| 9 | 国电电力 | 3.8% | 7.88% | | 中国广核 | 358.0% | 620.00% |
| 10 | 上汽集团 | 3.8% | 3.14% | | 格力电器 | 316.0% | 546.00% |

### 2021-12-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石油 | 10.0% | 3.28% | | 中国神华 | 1000.0% | 1659.00% |
| 2 | 中国神华 | 9.8% | 13.87% | | 中国联通 | 1000.0% | 1445.00% |
| 3 | 中国联通 | 7.9% | 14.39% | | 中远海控 | 869.0% | 1075.00% |
| 4 | 中国电信 | 7.5% | 6.40% | | 长江电力 | 847.0% | 606.00% |
| 5 | 中远海控 | 6.2% | 8.51% | | 美的集团 | 564.0% | 381.00% |
| 6 | 中国石化 | 5.9% | 3.09% | | 中国中冶 | 550.0% | 630.00% |
| 7 | 美的集团 | 4.0% | 3.79% | | 国电电力 | 509.0% | 800.00% |
| 8 | 中国中冶 | 3.9% | 6.12% | | 中国广核 | 377.0% | 623.00% |
| 9 | 国电电力 | 3.6% | 8.00% | | 格力电器 | 333.0% | 610.00% |
