ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
002930.SZ,20230609,1017081.6765,965033.2629,42.6822,4.4198
688052.SH,20230609,2449750.9344,1279536.2846,145.945,3.7592
000407.SZ,20230609,315070.3068,313524.7335,21.944,1.1447
000668.SZ,20230609,167399.7546,167224.768,,1.3823
603551.SH,20230609,446690.4,443864.808,16.4101,3.4321
603617.SH,20230609,335930.2785,335930.2785,81.656,2.2697
603601.SH,20230609,420900.1258,420900.1258,33.6808,1.9686
600724.SH,20230609,530403.4731,530293.9577,22.7163,1.9472
300993.SZ,20230609,334630.4832,108015.4062,21.3496,2.6663
600232.SH,20230609,191841.9541,191841.9541,42.6588,1.9295
603083.SH,20230609,1746936.0147,1696657.2179,49.8856,8.3431
002749.SZ,20230609,482057.0794,443214.8604,37.8823,3.4268
001330.SZ,20230609,1283800.7311,256760.1464,,1.9199
603035.SH,20230609,706097.4735,706097.4735,13.4477,1.4944
600649.SH,20230609,1034596.4343,1034596.4343,28.3333,0.4985
002571.SZ,20230609,261823.0676,199268.5336,,2.0576
600184.SH,20230609,615600.5995,615600.5995,107.1484,2.4599
300212.SZ,20230609,2509454.1306,2414885.33,,6.4943
000078.SZ,20230609,899522.475,856600.9743,,1.8914
603970.SH,20230609,551040.2755,551040.2755,25.11,3.9792
300882.SZ,20230609,578944.1174,163141.4522,35.1219,5.8324
300128.SZ,20230609,468281.3963,467842.7177,,7.748
300491.SZ,20230609,545163.4045,483592.7573,79.7387,5.3477
002677.SZ,20230609,663495.0415,442108.4483,15.3853,3.9831
603717.SH,20230609,198460.0282,198460.0282,,1.831
001202.SZ,20230609,187790.4,58643.676,47.5752,2.7351
603351.SH,20230609,342218.5192,334925.9067,36.4801,2.3229
600051.SH,20230609,232227.36,232227.36,13.928,0.7111
002988.SZ,20230609,377554.562,377257.736,,1.8061
600636.SH,20230609,647460.0815,647460.0815,47.4549,2.4069
605089.SH,20230609,563316.0,149278.74,39.3608,4.8172
000530.SZ,20230609,443529.7787,315621.8884,78.6317,1.463
300950.SZ,20230609,302850.0,121140.0,37.5821,4.7393
300183.SZ,20230609,791986.8425,574291.9613,51.0462,2.5637
003019.SZ,20230609,335663.3337,231849.2015,14.0079,2.1451
601928.SH,20230609,3377082.3,3377082.3,16.1567,1.9043
002269.SZ,20230609,404512.5,404512.5,,13.9166
603887.SH,20230609,359703.0973,359703.0973,,1.1683
300591.SZ,20230609,261253.9124,198354.9959,,4.7765
300057.SZ,20230609,619613.0413,376365.2348,42.5713,1.1315
002769.SZ,20230609,293427.9904,261265.0245,,2.1507
600609.SH,20230609,613641.8611,613641.8611,34.5249,6.1994
600075.SH,20230609,812703.7222,603941.9042,15.1628,0.7938
002377.SZ,20230609,221750.6986,221671.094,,3.9057
300262.SZ,20230609,180167.3227,179715.7645,,10.1968
002911.SZ,20230609,1182822.2532,1180555.302,17.969,3.2165
