ts_code,end_date,total_liab,money_cap,total_assets
600372.SH,20090930,267765330.67,109150644.19,976093002.72
600896.SH,20090930,935894919.97,186636184.98,2641677896.38
000023.SZ,20090930,908625486.54,61584013.7,1204321218.49
000555.SZ,20090930,155994779.26,69241.01,23834623.22
002101.SZ,20090930,300109741.82,71532241.97,684038586.09
000726.SZ,20090930,1804991621.86,298303440.46,5811754243.0
000553.SZ,20090930,1150753317.52,641187395.8,2279387667.15
600602.SH,20090930,1768521323.83,271276575.81,3531081863.89
600426.SH,20090930,3333856136.48,530907241.13,5999336364.88
002054.SZ,20090930,594516205.21,187901110.24,1527399557.29
002072.SZ,20090930,1192540135.9,128317947.7,1538310324.82
002280.SZ,20090930,25423681.73,323378115.39,461696070.65
002102.SZ,20090930,916053101.41,139391704.9,1314653759.41
600502.SH,20090930,2309430147.77,383192225.24,2914713302.23
002282.SZ,20090930,131933042.91,523778402.7,887788828.23
002276.SZ,20090930,557027471.32,397888132.57,1535165589.63
600497.SH,20090930,3281417085.37,722540438.18,6060936858.58
600525.SH,20090930,596693321.31,171304915.79,2185953669.95
600986.SH,20090930,685850926.4,455566399.54,1322232504.71
600695.SH,20090930,456827155.43,43755017.18,713921288.66
600660.SH,20090930,4959800331.0,88533260.0,8845847139.0
002035.SZ,20090930,581283061.22,212871732.78,897845881.91
000546.SZ,20090930,146294654.09,20510541.91,304903165.91
002030.SZ,20090930,150898202.09,48473306.23,564058253.23
002036.SZ,20090930,92204174.4,44824177.52,618301287.57
002047.SZ,20090930,452019961.78,390752900.65,1395281761.34
002069.SZ,20090930,694940606.69,204991661.65,2005175135.92
002055.SZ,20090930,634399984.5,201892532.52,995010497.6
000568.SZ,20090930,1608625602.23,648445541.73,5460607095.8
002043.SZ,20090930,447335231.16,153939256.76,877500860.86
002285.SZ,20090930,151710459.51,914650907.19,1095194082.56
002053.SZ,20090930,1231852590.05,178042146.13,2248703370.62
002058.SZ,20090930,62289402.07,86824142.8,234313239.23
002275.SZ,20090930,149606191.48,1057162558.64,1856681782.22
002077.SZ,20090930,1575311179.09,401519356.08,2204303999.93
002068.SZ,20090930,1854351192.27,482454856.45,2460112336.23
000540.SZ,20090930,3711055286.09,717637182.17,4827109549.76
000503.SZ,20090930,308727685.55,197717397.62,1630005357.13
000428.SZ,20090930,2326905455.39,131414608.95,3642763740.64
002020.SZ,20090930,704646750.63,295269782.89,1010983046.9
000543.SZ,20090930,5377740360.74,847613415.78,10759200957.95
000488.SZ,20090930,12898708824.0,2782391849.59,27342002818.04
002295.SZ,20090930,315981789.74,504668621.71,1156603769.18
002029.SZ,20090930,736120296.23,803885462.41,2095184574.17
002281.SZ,20090930,347078873.8,597275883.78,1274050732.37
002001.SZ,20090930,1281132205.17,542534942.89,3876546983.79
000997.SZ,20090930,618814682.79,137285044.24,1490353521.64
