ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
001979.SZ,20251031,20251031.0,20250930,1.0,1.0,3.0,0.25,0.25,89766442396.26,89766442396.26,,,,,,,,,,,,,,,-11343778.84,573834496.78,58394432.12,,84136733111.01,76323268925.09,,,2620818448.88,1908306107.15,1237729480.36,1878999935.64,-1069957.31,,,,,,,,,,,6321657172.26,157541330.43,140170353.0,,6339028149.69,2741035536.99,3597992612.7,2496969924.99,1101022687.71,-85299883.17,3512692729.53,2423786725.91,1088906003.62,,,,,,78644692.61,2764924846.32,989349779.08,,,,,,,,,,,,,,,3597992612.7,0.0
600433.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-163080856.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600236.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3253371406.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600307.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-674914037.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600240.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121860598.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600252.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7851794.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600256.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576859244.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600259.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161215453.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600271.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-604299655.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600284.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338123840.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600320.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769400579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601398.SH,20251031,20251031.0,20250930,1.0,2.0,3.0,0.73,0.73,640028000000.0,640028000000.0,1005116000000.0,,101484000000.0,90868000000.0,50382000000.0,-2729000000.0,,,,,,,,22633000000.0,4172000000.0,48615000000.0,4497000000.0,324000000.0,321518000000.0,,531700000000.0,10616000000.0,7471000000.0,,161592000000.0,,,,,,,,321518000000.0,,,,25362000000.0,318510000000.0,799000000.0,646000000.0,,318663000000.0,46781000000.0,271882000000.0,269908000000.0,1974000000.0,-24316000000.0,247566000000.0,246727000000.0,839000000.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
600329.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522594956.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600350.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4273379614.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600366.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302268429.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600373.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514208735.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600399.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-554848957.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600416.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228870428.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600418.SH,20251031,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1457974547.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002624.SZ,20251031,20251031.0,20250930,1.0,1.0,3.0,0.35,0.35,5416741316.09,5416741316.09,,,,,,,,,,,,,,,706118.66,141634763.64,-51753035.08,,4696263110.99,2205874165.97,,,18375878.68,544506321.87,489740602.3,-52924620.97,-95655885.3,,,,,,,,,,,925311608.23,15323235.38,3236742.34,,937398101.27,283555976.68,653842124.59,665528003.49,-11685878.9,31419102.34,685261226.93,697816721.85,-12555494.92,826023371.17,,,,,1362352261.66,18645619.98,70772954.9,,,,,,,,,,,,,,,653842124.59,1.0
