ts_code,ann_date,f_ann_date,end_date,operate_profit
002458.SZ,20150331,20150331,20141231,-49475673.59
002463.SZ,20150326,20150326,20141231,-27004025.0
002460.SZ,20150414,20150414,20141231,92141220.73
002461.SZ,20150331,20150331,20141231,64794986.91
002459.SZ,20150331,20150331,20141231,-20804995.51
002470.SZ,20150417,20150417,20141231,1029911665.64
002468.SZ,20150414,20150414,20141231,715559.24
002465.SZ,20150327,20150327,20141231,479003985.3
002466.SZ,20150413,20150413,20141231,293453707.23
002472.SZ,20150409,20150409,20141231,133663131.6
002487.SZ,20150228,20150228,20141231,33390430.12
002475.SZ,20150415,20150415,20141231,803106445.63
002482.SZ,20150416,20150416,20141231,640009143.28
002479.SZ,20150216,20150216,20141231,245789826.04
002477.SZ,20150424,20150424,20141231,-171814861.09
002489.SZ,20150421,20150421,20141231,478194208.57
002491.SZ,20150326,20150326,20141231,216840046.74
002500.SZ,20150421,20150421,20141231,792511073.0
002503.SZ,20150414,20150414,20141231,162621261.67
002505.SZ,20150417,20150417,20141231,2903406.94
002507.SZ,20150328,20150328,20141231,143996890.79
002508.SZ,20150410,20150410,20141231,643582357.46
002497.SZ,20150328,20150328,20141231,303855065.18
002498.SZ,20150423,20150423,20141231,274434524.05
002493.SZ,20150423,20150423,20141231,-723916109.31
002509.SZ,20150324,20150324,20141231,138262830.15
002511.SZ,20150415,20150415,20141231,90886171.25
002512.SZ,20150307,20150307,20141231,141793452.89
002517.SZ,20150327,20150327,20141231,-46436950.54
002544.SZ,20150422,20150422,20141231,81038131.4
002532.SZ,20150422,20150422,20141231,86798741.45
002506.SZ,20150429,20150429,20141231,672458607.43
002518.SZ,20150318,20150318,20141231,168745422.12
002551.SZ,20150428,20150428,20141231,131280605.28
002555.SZ,20150331,20150331,20141231,57607779.17
002557.SZ,20150410,20150410,20141231,350380406.08
002558.SZ,20150414,20150414,20141231,6699986.9
002568.SZ,20150326,20150326,20141231,63771178.02
002563.SZ,20150317,20150317,20141231,1474123741.01
002572.SZ,20150325,20150325,20141231,396005586.88
002573.SZ,20150411,20150411,20141231,306195018.15
002581.SZ,20150418,20150418,20141231,94287984.25
002583.SZ,20150330,20150330,20141231,-23371418.95
002589.SZ,20150422,20150422,20141231,235769429.0
002588.SZ,20150331,20150331,20141231,566420232.96
002531.SZ,20150422,20150422,20141231,194472871.22
002594.SZ,20150330,20150330,20141231,-179115000.0
002595.SZ,20150305,20150305,20141231,579729336.28
002600.SZ,20150310,20150310,20141231,-13908796.76
002601.SZ,20150317,20150317,20141231,62111742.74
002602.SZ,20150422,20150422,20141231,237763957.24
002603.SZ,20150411,20150411,20141231,409993446.19
002607.SZ,20150421,20150421,20141231,-81945231.01
002608.SZ,20150429,20150429,20141231,-1676358155.32
