ts_code,end_date,operate_profit,total_revenue
000820.SZ,20040930,3377717.26,382110943.98
600602.SH,20040930,216280084.05,3659264499.78
600099.SH,20040930,6419564.87,284302531.17
000938.SZ,20040930,21300583.98,2335743745.99
600270.SH,20040930,575365609.75,2630268770.72
600317.SH,20040930,115649999.58,433622888.2
600418.SH,20040930,353303002.06,6090926937.16
000931.SZ,20040930,49334535.14,1152757234.7
000611.SZ,20040930,15012608.96,110950894.67
600356.SH,20040930,80594708.67,399777792.37
000516.SZ,20040930,38549604.27,1086445141.69
000060.SZ,20040930,130433687.17,2336243464.98
000504.SZ,20040930,17995613.79,176044081.05
000011.SZ,20040930,48206099.75,505639076.16
600537.SH,20040930,24147492.0,260396473.0
600525.SH,20040930,50343189.84,232191490.83
600518.SH,20040930,76981406.73,406247187.09
600112.SH,20040930,22531351.35,158290865.83
000406.SZ,20040930,192386472.35,1139939711.13
600151.SH,20040930,128421291.03,1364798692.88
600126.SH,20040930,715760540.98,7698875841.6
600879.SH,20040930,86905201.39,485516086.13
600545.SH,20040930,14932955.45,215323072.82
600077.SH,20040930,-7508326.42,57022709.07
600780.SH,20040930,383205289.73,1565410162.64
000967.SZ,20040930,-3163631.92,165833237.71
600960.SH,20040930,55453388.24,495239959.69
002038.SZ,20040930,25897791.29,66378285.12
600193.SH,20040930,12507272.59,57854006.0
000876.SZ,20040930,162731469.19,1868467261.83
000910.SZ,20040930,84319822.91,1211820277.25
600768.SH,20040930,18866957.73,326986129.79
600098.SH,20040930,1062684499.9,3423327222.04
600656.SH,20040930,101401302.97,754270884.62
600859.SH,20040930,87998066.38,2722272129.12
600851.SH,20040930,139061134.88,1514956639.41
002037.SZ,20040930,34412961.84,266331080.43
600120.SH,20040930,108621948.09,3709643323.22
600152.SH,20040930,54409854.87,1286606952.39
600432.SH,20040930,142768132.1,663340260.31
600226.SH,20040930,55653938.01,680253540.48
000513.SZ,20040930,127244280.33,1143985701.86
600208.SH,20040930,347378.44,658855220.02
600242.SH,20040930,8556655.18,134887023.97
600367.SH,20040930,148099662.47,665872171.37
600568.SH,20040930,9284777.71,332193797.3
600605.SH,20040930,-15674456.85,420016655.9
000632.SZ,20040930,27937957.69,2064654554.29
600846.SH,20040930,22349483.27,1296445214.16
600346.SH,20040930,4283525.99,219497583.44
600269.SH,20040930,397428847.31,735882102.0
000890.SZ,20040930,41815144.96,930919035.77
600696.SH,20040930,5008818.17,154655931.0
600237.SH,20040930,53852175.26,305688518.32
000807.SZ,20040930,135445429.19,1122472319.06
600593.SH,20040930,12289190.32,59791354.02
000595.SZ,20040930,-17993632.02,227522593.16
600862.SH,20040930,17853669.02,401167005.26
600477.SH,20040930,70368941.59,1105120138.68
000407.SZ,20040930,26514287.69,683587151.42
600803.SH,20040930,21861030.64,301527908.51
000889.SZ,20040930,31749589.12,387411569.23
000408.SZ,20040930,1481963.59,144555318.44
600675.SH,20040930,43189305.86,772015058.33
600222.SH,20040930,2346250.88,95718599.71
600313.SH,20040930,21336795.27,707833421.76
600199.SH,20040930,8025955.46,311885602.08
000687.SZ,20040930,1628160.67,453463586.88
600704.SH,20040930,59176296.76,2412808836.03
600339.SH,20040930,54244465.53,1213415314.74
600899.SH,20040930,-17579791.22,6249361.45
600893.SH,20040930,50513817.54,797769447.39
600997.SH,20040930,246548639.31,1124862276.85
600990.SH,20040930,15704325.58,144010347.57
600021.SH,20040930,591690720.12,4521223588.86
600078.SH,20040930,103653328.32,876563226.22
600068.SH,20040930,27245745.88,1393178105.87
600104.SH,20040930,1893595439.94,5714511893.36
600096.SH,20040930,430450790.17,1385215720.33
600130.SH,20040930,236383175.04,7032367290.64
600092.SH,20040930,-23921610.62,14151468.67
600136.SH,20040930,-36490985.46,75572040.63
600129.SH,20040930,72366224.25,3096821688.53
600119.SH,20040930,18328538.92,573361847.57
600079.SH,20040930,46134711.22,417177699.62
600552.SH,20040930,28533044.15,334460078.17
600556.SH,20040930,73189604.78,287571388.93
600558.SH,20040930,39531537.17,684100300.93
600066.SH,20040930,140201465.52,2762182434.11
600138.SH,20040930,68577557.63,1123124336.38
600123.SH,20040930,319576902.92,970328832.02
600169.SH,20040930,14189174.76,1296532370.95
600583.SH,20040930,321098146.91,2142250193.91
600186.SH,20040930,-75604688.82,714462853.88
600588.SH,20040930,27890959.0,486530124.0
600597.SH,20040930,329710710.0,5083019444.0
600158.SH,20040930,-525311.09,360280955.5
600594.SH,20040930,29507987.72,357558351.88
600616.SH,20040930,127621901.51,2677092601.45
600591.SH,20040930,338847455.69,4735166954.57
600166.SH,20040930,206502001.84,13490622364.77
600221.SH,20040930,135603637.0,6111481008.0
600210.SH,20040930,252188829.28,2213029606.34
600181.SH,20040930,-80527155.57,227098002.47
600615.SH,20040930,5776968.21,100807805.45
600157.SH,20040930,27740605.95,519943277.35
600241.SH,20040930,23417502.14,1042089492.26
600217.SH,20040930,53814962.17,488899136.05
600231.SH,20040930,419861594.2,4348432423.58
600642.SH,20040930,1266987017.38,3966414436.21
600212.SH,20040930,29850420.91,537025384.36
600627.SH,20040930,108967879.25,872901111.33
600679.SH,20040930,39129140.43,1523065293.53
600653.SH,20040930,3299156.52,2266201324.41
600664.SH,20040930,323408276.3,5454553149.89
600683.SH,20040930,18289876.46,777215255.4
600676.SH,20040930,80849687.93,699647828.76
600971.SH,20040930,174793969.64,411895090.16
600673.SH,20040930,24416890.52,385244022.12
000599.SZ,20040930,62707074.34,1600684945.43
000591.SZ,20040930,5059684.65,2182066104.58
600686.SH,20040930,95425377.74,1930649963.04
