ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
600827.SH,20150417,20150417,20141231,24855295398.46,12881353593.84,44036808518.56
600835.SH,20150317,20150317,20141231,21157190034.95,12118007651.73,29769094699.51
600837.SH,20150328,20150328,20141231,280357946063.62,86088084196.97,352622148668.9
600839.SH,20150331,20150331,20141231,40772188981.04,13999811942.03,60224606913.98
600848.SH,20150317,20150317,20141231,1583857901.82,145694614.66,1718655713.02
600845.SH,20150303,20150303,20141231,2546778532.33,889899127.22,5171662054.82
600850.SH,20150414,20150414,20141231,2326266741.02,877941031.34,3855841249.69
600851.SH,20150430,20150430,20141231,1725588307.63,577487479.75,7265711536.56
600859.SH,20150321,20150321,20141231,6860120842.8,5974992078.59,13749373401.85
600862.SH,20150228,20150228,20141231,5708244167.96,892281899.84,6806581169.21
600863.SH,20150428,20150428,20141231,24451167343.25,153236725.61,38773203918.23
600864.SH,20150313,20150313,20141231,2741361014.86,1208525108.4,7522682273.9
600867.SH,20150409,20150409,20141231,795715413.61,201875913.19,2956219432.05
600869.SH,20150425,20150425,20141231,8939893123.09,3279949871.22,12243068751.55
600871.SH,20150325,20150325,20141231,62599570000.0,1213897000.0,81295708000.0
600872.SH,20150331,20150331,20141231,1446432486.58,270362211.98,4058969587.71
600873.SH,20150318,20150318,20141231,12219656959.44,1410780531.53,20601673245.05
600874.SH,20150327,20150327,20141231,6521502000.0,820092000.0,10859482000.0
600875.SH,20150328,20150328,20141231,64760903863.54,17822818071.65,85230169494.86
600880.SH,20150309,20150309,20141231,711966116.3,1168533314.17,4843172542.87
600879.SH,20150213,20150213,20141231,4441643846.5,300163639.53,9820610462.36
600881.SH,20150429,20150429,20141231,41321119723.72,6413042029.22,53412054911.47
600884.SH,20150411,20150411,20141231,4755613691.58,1003847353.52,9165718402.16
600885.SH,20150327,20150327,20141231,1248682406.26,777505475.71,4742608926.92
600887.SH,20150425,20150425,20141231,20672744324.57,14272616386.47,39494298817.03
600886.SH,20150410,20150410,20141231,129901377846.94,7600933209.94,172617316036.42
600893.SH,20150423,20150423,20141231,28354122069.23,6267308831.83,43975990176.64
600894.SH,20150327,20150327,20141231,2620158488.19,1916470730.96,7079830320.37
600895.SH,20150430,20150430,20141231,10220008996.75,1541488779.73,17697786201.28
600903.SH,20171018,20171018,20141231,3834560904.49,623258452.13,4559932547.25
600901.SH,20180130,20180130,20141231,22620464547.38,,26648148613.84
600900.SH,20150430,20150430,20141231,60857626595.63,3113736735.76,146994120608.48
600905.SH,20150812,20150812,20141231,20317399000.0,,33751109500.0
600906.SH,20150429,20150429,20141231,15988018200.96,9530426955.8,23047194290.64
600909.SH,20161115,20161115,20141231,17957077622.98,9170182269.87,22956382030.0
600918.SH,20160325,20160325,20141231,69736343500.0,28983434300.0,84267693200.0
600917.SH,20150410,20150410,20141231,3656201460.2,2188637573.61,7220218481.84
600908.SH,20160810,20160810,20141231,97926211894.72,,104463093558.55
600919.SH,20160620,20160620,20141231,982243964000.0,,1038309050000.0
600926.SH,20160912,20160912,20141231,392379046000.0,,418541235000.0
600928.SH,20170106,20170106,20141231,141455862000.0,,151281926000.0
600927.SH,20151009,20151009,20141231,16034303815.96,10409598964.8,17824593069.28
600956.SH,20150512,20150512,20141231,12847295243.6,3197816627.91,21609688767.23
600939.SH,20170111,20170111,20141231,52869722273.11,3594815403.29,56714148656.07
600958.SH,20150303,20150303,20141231,88904624537.77,23803148824.15,107530123032.87
600959.SH,20150403,20150403,20141231,5707239319.72,2222533376.69,15030561887.02
600970.SH,20150324,20150324,20141231,20604683274.25,6574281847.47,25101725970.46
600967.SH,20150331,20150331,20141231,985850802.35,1216261796.95,3431018771.94
