ts_code,end_date,operate_profit,total_revenue
000635.SZ,20070331,36003725.08,355873723.89
002081.SZ,20070331,23206806.85,1434251004.99
002095.SZ,20070331,10037318.81,17389461.31
000812.SZ,20070331,3046066.25,48223628.26
000895.SZ,20070331,188781349.92,4037421104.37
600114.SH,20070331,1326317.2,167648561.14
600806.SH,20070331,41292370.32,209434358.81
600090.SH,20070331,-11027138.48,135828674.89
600182.SH,20070331,21044901.88,597269629.65
600385.SH,20070331,-4132591.86,207950.69
600251.SH,20070331,-4672911.04,111106743.6
600290.SH,20070331,20021437.89,114220192.99
600338.SH,20070331,-26648526.96,196853764.29
600995.SH,20070331,9179749.64,156021511.89
600898.SH,20070331,-3739499.4,359346627.17
600405.SH,20070331,-5508687.1,78815730.45
600490.SH,20070331,1547384.97,45916218.79
601872.SH,20070331,214364907.0,567253888.0
600575.SH,20070331,13218152.74,40830157.84
000042.SZ,20070331,-12831793.95,134393796.46
600649.SH,20070331,137763354.94,266087800.87
000498.SZ,20070331,-40372186.63,10340618.2
000597.SZ,20070331,10703178.76,972252067.27
000068.SZ,20070331,-84509374.42,350934746.96
000532.SZ,20070331,16337108.71,45722218.04
000632.SZ,20070331,24644451.67,642567197.27
600089.SH,20070331,99234116.19,1616644845.74
600311.SH,20070331,-13084940.46,13758534.93
600326.SH,20070331,4439628.74,88770377.46
600249.SH,20070331,64457987.99,100777747.21
600269.SH,20070331,250384698.96,536460470.44
600526.SH,20070331,7493662.91,281005725.69
600346.SH,20070331,1133692.74,91147720.48
600376.SH,20070331,-3684702.52,7528569.88
600707.SH,20070331,-3499651.44,199501918.46
600297.SH,20070331,4144586.93,220688990.85
600730.SH,20070331,6927931.88,508776421.13
600751.SH,20070331,876378.36,74764478.31
600609.SH,20070331,14739947.81,851006955.61
600652.SH,20070331,42949722.54,367311680.92
600565.SH,20070331,4980554.06,109713249.09
600846.SH,20070331,-11763795.14,85329508.06
600803.SH,20070331,4702557.25,135945598.76
000526.SZ,20070331,-2436186.18,935152.7
000020.SZ,20070331,-21225.11,28572239.05
600863.SH,20070331,98832757.72,1596584091.3
000721.SZ,20070331,4250727.85,112388603.04
002099.SZ,20070331,14844266.32,230343834.11
002075.SZ,20070331,17110752.31,652774000.97
002021.SZ,20070331,38535329.69,282337672.96
600386.SH,20070331,-73038966.95,410325154.66
600488.SH,20070331,10328016.01,145961338.24
600717.SH,20070331,162265377.52,601581214.58
600847.SH,20070331,-4338117.64,18942219.34
600207.SH,20070331,-31495197.34,468543180.65
600675.SH,20070331,254331089.26,708113511.89
000030.SZ,20070331,-7381455.95,598429.46
600161.SH,20070331,44736448.94,107711358.11
000832.SZ,20070331,-22718321.58,125010458.27
000980.SZ,20070331,11248675.8,105036489.9
002011.SZ,20070331,2688397.75,63221321.12
002041.SZ,20070331,32923297.98,117510960.0
000066.SZ,20070331,29876412.81,798585917.49
600670.SH,20070331,-1290086.13,657299.02
688981.SH,20070331,,3006291714.0
