ts_code,end_date,total_liab,money_cap,total_assets
000817.SZ,20031231,157983423.27,1206705259.53,3215832848.77
000868.SZ,20031231,457225447.19,147934207.54,1091392231.76
000037.SZ,20031231,963913451.08,494177854.58,2571971073.13
000906.SZ,20031231,793621402.66,245310609.3,1274935855.47
000090.SZ,20031231,1370133445.66,495332637.38,2510610876.39
000421.SZ,20031231,603733142.6,84728942.62,1104451989.77
000410.SZ,20031231,3226850600.46,129493484.47,4059670342.61
000420.SZ,20031231,946427146.5,121949436.9,2074360074.32
000919.SZ,20031231,256055644.52,542651637.49,1635180305.09
000977.SZ,20031231,422483119.75,405911360.83,1725742306.16
000960.SZ,20031231,1131207046.93,153966276.22,2340829136.89
000937.SZ,20031231,853344892.71,168321648.52,2539565562.9
000983.SZ,20031231,1928795585.59,1556266949.38,5395107814.87
000989.SZ,20031231,230805193.93,510311106.96,1337383483.37
000568.SZ,20031231,1135814992.67,451229814.89,2646841503.61
600205.SH,20031231,1027058728.97,223395749.7,2938567581.24
600635.SH,20031231,2171032225.77,1510060765.19,4538444885.46
600238.SH,20031231,622711691.37,234749707.4,1144424383.08
600216.SH,20031231,1040334702.53,194048968.51,1668812778.56
600212.SH,20031231,404422886.28,190379699.57,1709331007.72
600639.SH,20031231,1156910624.67,45362335.98,3117751286.71
600655.SH,20031231,1738469826.52,280883763.38,3565774387.18
000657.SZ,20031231,492110138.9,146089010.57,1078359092.78
000679.SZ,20031231,1306509681.13,591529591.13,2038015205.09
000751.SZ,20031231,2075546897.45,1050503881.53,4776379058.65
000762.SZ,20031231,231953574.95,59521081.96,683747039.4
000768.SZ,20031231,344341001.98,227913467.75,2361993178.65
000803.SZ,20031231,131043572.27,27554796.07,305634492.12
000823.SZ,20031231,1025502527.88,266572473.76,1989349063.34
600556.SH,20031231,817990317.11,97661964.16,1420126044.21
600130.SH,20031231,2649894417.31,1391306474.6,3947427220.41
600558.SH,20031231,276740763.32,186689145.75,874244470.31
600569.SH,20031231,2073678154.83,2340425289.41,7476145189.23
600566.SH,20031231,183918794.62,136765746.73,650391551.55
600577.SH,20031231,394955774.78,160980661.33,718306167.51
600175.SH,20031231,385286888.26,63424731.56,874780553.37
600172.SH,20031231,410647592.04,146108858.23,1282770282.42
600180.SH,20031231,716946882.13,444102772.99,1699202713.36
600197.SH,20031231,326189897.34,189724402.61,1186768665.91
600183.SH,20031231,859582466.55,144313192.52,2085958424.29
600595.SH,20031231,1455680170.45,107228245.46,2180074688.84
600588.SH,20031231,152379554.0,773319985.0,1282611512.0
600481.SH,20031231,275844400.85,715087113.17,1199392314.38
600485.SH,20031231,137441959.29,187914957.44,427620727.31
600459.SH,20031231,100942040.63,219088231.26,497163758.53
600479.SH,20031231,188226590.66,71311390.73,421291936.28
600810.SH,20031231,675389586.1,173087759.52,4066854806.4
600845.SH,20031231,227712500.9,106219655.67,603014256.77
600868.SH,20031231,2956770117.69,463118585.37,5952362566.08
600884.SH,20031231,696546691.24,344732546.54,2241277535.7
600002.SH,20031231,2187648000.0,134779000.0,7214543000.0
600050.SH,20031231,81288713632.0,10151011046.0,150054557734.0
600006.SH,20031231,2416406798.34,2494614229.62,6517729366.36
600056.SH,20031231,294509243.32,684703541.39,920766293.4
600081.SH,20031231,504389082.41,35701679.5,1036848924.78
600078.SH,20031231,567538047.76,350488503.21,1531721527.55
600071.SH,20031231,342279214.74,133435814.39,848800874.32
600425.SH,20031231,249689913.88,232753871.82,760452509.68
600704.SH,20031231,2130028281.14,599351255.01,3377746832.06
600276.SH,20031231,547337527.6,128484942.44,1450686564.28
600302.SH,20031231,313307590.84,323844146.79,1109143947.18
600300.SH,20031231,786710988.1,665416396.85,2457656150.5
600335.SH,20031231,325232408.15,19905219.23,609391578.81
600328.SH,20031231,656492740.19,154916765.44,1395127847.93
600388.SH,20031231,913922647.14,500786318.76,1612044813.34
600416.SH,20031231,532366969.0,159498633.0,1185328933.0
600448.SH,20031231,585587976.56,133656314.17,1306040651.08
600444.SH,20031231,171429140.45,23700222.47,260903610.66
600089.SH,20031231,3420647895.48,686069723.8,4903725652.45
600218.SH,20031231,399819808.66,165498477.41,1289378957.86
600546.SH,20031231,584794328.38,389375982.69,1151622346.84
600055.SH,20031231,239159564.08,149038659.95,662700146.86
600511.SH,20031231,619798956.57,322393614.54,1088448654.89
600376.SH,20031231,487486121.47,289599584.18,1211060948.39
000623.SZ,20031231,600192169.81,203873481.76,1951156223.7
000913.SZ,20031231,577470825.14,346373185.24,1875982864.75
000522.SZ,20031231,2021370606.42,156891116.77,2671167939.57
000801.SZ,20031231,57386996.78,31498689.41,174810336.88
000889.SZ,20031231,979243800.84,75229592.41,1737648683.5
600253.SH,20031231,465350793.14,256955134.23,1301618904.08
600207.SH,20031231,1323717249.73,1081449923.63,3778682058.94
600717.SH,20031231,2105928513.89,391843015.96,4431546653.86
000755.SZ,20031231,1184297012.89,230197658.63,2256637427.85
000876.SZ,20031231,1397345129.92,473589080.61,3236111660.61
000929.SZ,20031231,475640760.16,135102292.16,819221443.22
000988.SZ,20031231,438615352.48,145465695.13,1167276732.8
000952.SZ,20031231,352380153.4,58055144.38,866938420.38
600258.SH,20031231,581656604.32,173516328.85,1547330392.37
600798.SH,20031231,265550426.09,89279528.92,1152061411.82
600736.SH,20031231,1687017252.14,619670411.11,3454025397.04
600165.SH,20031231,638866917.44,94366683.13,1329178237.51
600290.SH,20031231,298296728.01,70841660.82,532985065.77
600313.SH,20031231,476671704.42,427409942.57,981829031.12
600866.SH,20031231,266818518.44,163295760.65,1171399105.96
600969.SH,20031231,404043400.31,99665422.41,684821983.19
600898.SH,20031231,157209335.2,76008229.0,445074917.31
000034.SZ,20031231,1150140373.86,39499787.88,1499313711.94
600517.SH,20031231,109900452.68,196244778.79,355033056.15
001872.SZ,20031231,1219427171.0,42718254.0,3214220100.0
600543.SH,20031231,266978261.51,15800538.36,458700670.26
000938.SZ,20031231,925512218.48,336534144.17,1643318882.65
000730.SZ,20031231,831119073.32,2339191.45,917541020.07
600057.SH,20031231,2784886537.69,980242269.87,4347780310.81
600227.SH,20031231,150672957.83,295507557.4,970407710.51
600301.SH,20031231,300968484.18,68453427.74,861311505.98
600666.SH,20031231,202329258.7,57374978.48,473453567.19
600814.SH,20031231,403334739.58,88979417.61,794699687.12
600894.SH,20031231,1321905379.15,431161655.36,3172010368.4
000667.SZ,20031231,551378449.14,113981414.79,1086653497.98
000511.SZ,20031231,1256735575.7,315988697.58,2317110091.8
000635.SZ,20031231,475823506.01,49948822.41,660286475.03
000419.SZ,20031231,665178201.78,132132059.96,1321803564.08
000848.SZ,20031231,372079444.76,383348833.66,1144649163.27
000905.SZ,20031231,1680573285.3,114441171.57,2721372995.63
000789.SZ,20031231,818530664.65,235750505.14,1603467053.3
600728.SH,20031231,432185670.41,365284581.92,1283794655.8
000806.SZ,20031231,1563029969.38,559722502.75,2762521460.38
000060.SZ,20031231,3593733160.68,400827143.17,4814598445.99
600784.SH,20031231,1044254848.36,99310720.09,1326473170.0
600502.SH,20031231,611339282.9,243136274.63,1081423097.18
600426.SH,20031231,965882687.65,323831283.72,1602659128.82
