ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
600831.SH,20131026,20131026,20130930,1,1,3,462153068.81,539262054.01
600835.SH,20131030,20131030,20130930,1,1,3,1503864105.3,204949931.98
600837.SH,20131030,20131030,20130930,4,1,3,-3638822096.81,262301854.56
600839.SH,20131019,20131019,20130930,1,1,3,1226292824.75,961643326.34
600845.SH,20131026,20131026,20130930,1,1,3,-99909469.06,90385616.19
600848.SH,20131030,20131030,20130930,1,1,3,-80571020.68,40785751.64
600850.SH,20131026,20131026,20130930,1,1,3,-414591028.21,28217576.01
600851.SH,20131026,20131026,20130930,1,1,3,-97305513.31,24160906.1
600859.SH,20131030,20131030,20130930,1,1,3,427300392.03,332430270.65
600862.SH,20131029,20131029,20130930,1,1,3,288026391.41,169768948.25
600863.SH,20131029,20131029,20130930,1,1,3,3326034533.1,894890365.55
600864.SH,20131025,20131025,20130930,1,1,3,-341814806.05,141965580.79
600867.SH,20131025,20131025,20130930,1,1,3,207639708.99,151144025.72
600869.SH,20131031,20131031,20130930,1,1,3,521394877.23,781729886.86
600871.SH,20131031,20131031,20130930,1,1,3,-227694000.0,135967000.0
600872.SH,20131029,20131029,20130930,1,1,3,160024889.17,267294551.54
600873.SH,20131029,20131029,20130930,1,1,3,713455223.11,1179749807.41
600874.SH,20131030,20131030,20130930,1,1,3,346319000.0,592907000.0
600875.SH,20131031,20131031,20130930,1,1,3,625839243.79,578401049.98
600879.SH,20131030,20131030,20130930,1,1,3,-346308664.66,265559157.7
600880.SH,20131025,20131025,20130930,1,1,3,167842383.18,38989994.06
600881.SH,20131026,20131026,20130930,1,1,3,-2484757772.31,605687821.33
600884.SH,20131030,20131030,20130930,1,1,3,14405902.68,75777212.07
600885.SH,20131029,20131029,20130930,1,1,3,235680927.42,89823381.26
600886.SH,20131030,20131030,20130930,1,1,3,10531966534.75,12187423137.47
600887.SH,20131031,20131031,20130930,1,1,3,5255249157.95,2065227762.99
600893.SH,20131017,20131017,20130930,1,1,3,-740881232.78,146457669.09
600894.SH,20131030,20131030,20130930,1,1,3,-24432180.18,152177953.18
600895.SH,20131031,20131031,20130930,1,1,3,-327182176.77,33800444.02
600900.SH,20131031,20131031,20130930,1,1,3,13724543408.61,374538189.71
600939.SH,20131028,20131028,20130930,1,1,3,105486039.15,2399175838.5
600959.SH,20131028,20131028,20130930,1,1,3,1060008231.79,806079095.66
600967.SH,20131029,20131029,20130930,1,1,3,-2284970.81,127285564.98
600970.SH,20131031,20131031,20130930,1,1,3,-245446747.86,163247725.62
600971.SH,20131029,20131029,20130930,1,1,3,109778150.23,728179278.17
600978.SH,20131031,20131031,20130930,1,1,3,373723114.7,160976227.7
600981.SH,20131030,20131030,20130930,1,1,3,107754239.08,15277302.23
600985.SH,20131031,20131031,20130930,1,1,3,59618589.76,53799033.68
600988.SH,20131031,20131031,20130930,1,1,3,186441011.45,23096626.41
600993.SH,20131026,20131026,20130930,1,1,3,60308853.68,24022881.32
600995.SH,20131031,20131031,20130930,1,1,3,244122081.27,248948719.9
600998.SH,20131029,20131029,20130930,1,1,3,-1796688299.68,417491543.31
600999.SH,20131029,20131029,20130930,4,1,3,-12327170882.74,150838620.98
601000.SH,20131029,20131029,20130930,1,1,3,681827876.58,716390435.08
601001.SH,20131031,20131031,20130930,1,1,3,1247040156.42,1544201468.93
601002.SH,20131028,20131028,20130930,1,1,3,-74832745.09,88511126.93
601003.SH,20131030,20131030,20130930,1,1,3,2800222497.86,1431059093.61
