ts_code,ann_date,end_date,total_liab,money_cap,total_assets
000525.SZ,20210430,20201231,7434218387.25,198108972.32,11542748161.82
920415.BJ,20210430,20201231,94113996.19,50652353.43,580130565.7
603668.SH,20210430,20201231,1798142210.93,500614108.83,3303044637.99
002638.SZ,20210430,20201231,820047756.38,482107110.97,4430149710.12
002512.SZ,20210430,20201231,3016588318.32,466915269.4,4373888820.25
600291.SH,20210430,20201231,948114376.4,37222322.31,2832950953.57
600112.SH,20210430,20201231,1372092622.94,9369608.38,1245160572.1
601929.SH,20210430,20201231,7192081881.04,560974829.63,14181320676.39
603308.SH,20210430,20201231,3896132354.39,455948448.15,8203381287.14
600231.SH,20210430,20201231,7719152258.27,3396087100.63,15995943735.33
601258.SH,20210430,20201231,11574280910.0,1052417437.0,22635351605.0
002098.SZ,20210430,20201231,1303020563.29,518563792.01,2210377174.58
002779.SZ,20210430,20201231,263913020.18,69593295.61,881575250.11
600220.SH,20210430,20201231,2614705521.51,462124982.49,4912963339.81
002158.SZ,20210430,20201231,1656855102.84,968760428.05,3963774476.66
600843.SH,20210430,20201231,2022679924.06,1055663987.05,4676723702.52
600240.SH,20210430,20201231,14932272668.25,32133390.65,6009132411.39
002369.SZ,20210430,20201231,1629367793.43,456999397.64,3016786322.8
603708.SH,20210430,20201231,6575447647.88,2083403623.92,9798250439.71
600289.SH,20210430,20201231,1035253571.14,1771396100.01,2579476108.07
002602.SZ,20210430,20201231,12798919845.43,3708091682.13,42746834577.59
600811.SH,20210430,20201231,25514332213.83,5172183688.77,46895791760.79
600515.SH,20210430,20201231,49280298936.49,1859879256.36,57434499259.75
600777.SH,20210430,20201231,10301861926.47,831314948.03,22729928962.75
600587.SH,20210430,20201231,6695780302.34,1350653600.95,11553848218.81
603690.SH,20210430,20201231,2795942378.94,1502514817.21,5956662795.43
600121.SH,20210430,20201231,11885852146.06,3808538656.95,14452403675.92
002506.SZ,20210430,20201231,9484130364.78,3447321015.12,13799824070.94
600393.SH,20210430,20201231,8749135268.37,542252053.11,13914276445.55
600485.SH,20210430,20201231,16273257666.95,102126959.37,1429204402.54
600614.SH,20210430,20201231,2445711276.13,12205253.1,2477809979.61
688456.SH,20210430,20201231,247841666.83,105108923.45,994091101.87
002666.SZ,20210430,20201231,984118167.26,653332816.34,4174052835.82
600759.SH,20210430,20201231,8577945135.02,124141607.57,14195676482.48
603289.SH,20210430,20201231,449174556.54,414291586.81,1510638667.97
000537.SZ,20210430,20201231,59478267600.88,6696366604.2,74834989645.27
002699.SZ,20210430,20201231,592554396.95,1185967453.51,2829028851.66
920245.BJ,20210430,20201231,129746054.74,34321498.5,287300703.28
002356.SZ,20210430,20201231,4122921477.24,118093013.74,1131023675.2
002175.SZ,20210430,20201231,1519381536.34,71846539.49,614955108.03
600185.SH,20210430,20201231,29039131288.46,3042844496.93,36862482557.72
002094.SZ,20210430,20201231,2036953016.68,1434801798.97,4805511403.76
601989.SH,20210430,20201231,86255780578.54,62422315159.75,172406771349.11
300159.SZ,20210430,20201231,3305169458.18,264577844.17,3837413749.58
688567.SH,20210430,20201231,5341062260.62,5716651998.95,15417645005.75
000596.SZ,20210430,20201231,4737774922.41,5971212569.66,15186625708.79
603816.SH,20210430,20201231,5934303577.81,2240794147.18,13037960940.9
300995.SZ,20210430,20201231,131355421.48,141698005.7,497151486.44
