ts_code,ann_date,end_date,operate_profit,f_ann_date,report_type,revenue,oper_cost,biz_tax_surchg,sell_exp,admin_exp,fin_exp,invest_income
300459.SZ,20260429,20251231,-1163747752.76,,,,,,,,,
003002.SZ,20260429,20251231,201593514.62,,,,,,,,,
920278.BJ,20260429,20251231,20974221.78,,,,,,,,,
920809.BJ,20260429,20251231,-307798725.56,,,,,,,,,
300656.SZ,20260429,20251231,-203310201.46,,,,,,,,,
605033.SH,20260429,20251231,51734368.83,,,,,,,,,
688246.SH,20260429,20251231,-294579636.53,,,,,,,,,
920985.BJ,20260429,20251231,-733507788.86,,,,,,,,,
002498.SZ,20260429,20251231,631077953.86,,,,,,,,,
600916.SH,20260429,20251231,327949421.61,,,,,,,,,
002962.SZ,20260429,20251231,39847980.13,,,,,,,,,
300684.SZ,20260429,20251231,395067779.24,,,,,,,,,
002086.SZ,20260429,20251231,-153879703.02,,,,,,,,,
688210.SH,20260429,20251231,-1878118.81,,,,,,,,,
301355.SZ,20260429,20251231,-39402113.08,,,,,,,,,
600516.SH,20260429,20251231,148854314.7,,,,,,,,,
300853.SZ,20260429,20251231,-193993766.84,,,,,,,,,
000571.SZ,20260429,20251231,-175576905.01,,,,,,,,,
301631.SZ,20260429,20251231,373687396.1,,,,,,,,,
688613.SH,20260429,20251231,11998367.28,,,,,,,,,
301060.SZ,20260429,20251231,14911743.43,,,,,,,,,
002584.SZ,20260429,20251231,64057111.34,,,,,,,,,
605398.SH,20260429,20251231,17574942.1,,,,,,,,,
002263.SZ,20260429,20251231,20203275.99,,,,,,,,,
002657.SZ,20260429,20251231,-105339949.38,,,,,,,,,
920275.BJ,20260429,20251231,4759888.86,,,,,,,,,
301383.SZ,20260429,20251231,-29500817.47,,,,,,,,,
601778.SH,20260429,20251231,484771427.02,,,,,,,,,
301199.SZ,20260429,20251231,130169055.94,,,,,,,,,
688038.SH,20260429,20251231,-7667327.31,,,,,,,,,
688588.SH,20260429,20251231,124510181.55,,,,,,,,,
301131.SZ,20260429,20251231,45617137.76,,,,,,,,,
300814.SZ,20260429,20251231,26248526.52,,,,,,,,,
688360.SH,20260429,20251231,129604447.79,,,,,,,,,
301246.SZ,20260429,20251231,158267273.66,,,,,,,,,
002182.SZ,20260429,20251231,13036195.11,,,,,,,,,
300063.SZ,20260429,20251231,167618836.39,,,,,,,,,
300614.SZ,20260429,20251231,-390886585.38,,,,,,,,,
002535.SZ,20260429,20251231,6071343.4,,,,,,,,,
301588.SZ,20260429,20251231,24997786.72,,,,,,,,,
002157.SZ,20260429,20251231,-487291702.2,,,,,,,,,
001213.SZ,20260429,20251231,589552044.49,,,,,,,,,
688277.SH,20260429,20251231,-154640337.43,,,,,,,,,
920578.BJ,20260429,20251231,-2904263.6,,,,,,,,,
002899.SZ,20260429,20251231,74815864.54,,,,,,,,,
002427.SZ,20260429,20251231,32720998.72,,,,,,,,,
920058.BJ,20260429,20251231,60487032.05,,,,,,,,,
688135.SH,20260429,20251231,-12013534.96,,,,,,,,,
300940.SZ,20260429,20251231,94278029.99,,,,,,,,,
002622.SZ,20260429,20251231,-111580165.82,,,,,,,,,
301398.SZ,20260429,20251231,49348805.76,,,,,,,,,
600479.SH,20260429,20251231,437251748.38,,,,,,,,,
603155.SH,20260429,20251231,89808685.18,,,,,,,,,
000596.SZ,20260429,20251231,5040321097.04,,,,,,,,,
603489.SH,20260429,20251231,115595181.05,,,,,,,,,
600210.SH,20260429,20251231,1253324207.94,,,,,,,,,
002701.SZ,20260429,20251231,1447442890.0,,,,,,,,,
000692.SZ,20260429,20251231,-108551742.52,,,,,,,,,
002992.SZ,20260429,20251231,-7752274.01,,,,,,,,,
920792.BJ,20260429,20251231,120755076.59,,,,,,,,,
000799.SZ,20260429,20251231,-44237916.77,,,,,,,,,
001336.SZ,20260429,20251231,39862314.52,,,,,,,,,
301139.SZ,20260429,20251231,14064719.22,,,,,,,,,
300915.SZ,20260429,20251231,-23739282.52,,,,,,,,,
002743.SZ,20260429,20251231,-1001144222.67,,,,,,,,,
603980.SH,20260429,20251231,66121687.87,,,,,,,,,
920204.BJ,20260429,20251231,21392768.71,,,,,,,,,
000936.SZ,20260429,20251231,212365335.09,,,,,,,,,
001256.SZ,20260429,20251231,156933613.19,,,,,,,,,
300660.SZ,20260429,20251231,372297616.25,,,,,,,,,
688468.SH,20260429,20251231,49726206.48,,,,,,,,,
688598.SH,20260429,20251231,-1269504906.49,,,,,,,,,
301502.SZ,20260429,20251231,22405483.77,,,,,,,,,
603516.SH,20260429,20251231,337833537.84,,,,,,,,,
301510.SZ,20260429,20251231,73895824.18,,,,,,,,,
603108.SH,20260429,20251231,-450256039.42,,,,,,,,,
002176.SZ,20260429,20251231,-402888939.16,,,,,,,,,
600613.SH,20260429,20251231,73814971.78,,,,,,,,,
688648.SH,20260429,20251231,746043285.82,,,,,,,,,
000561.SZ,20260429,20251231,-332155669.15,,,,,,,,,
301325.SZ,20260429,20251231,-164624210.58,,,,,,,,,
300536.SZ,20260429,20251231,-223681746.84,,,,,,,,,
301019.SZ,20260429,20251231,126809861.46,,,,,,,,,
300120.SZ,20260429,20251231,-459550221.61,,,,,,,,,
002824.SZ,20260429,20251231,160616690.02,,,,,,,,,
603777.SH,20260429,20251231,-139209373.32,,,,,,,,,
301316.SZ,20260429,20251231,82162569.37,,,,,,,,,
301585.SZ,20260429,20251231,79967919.39,,,,,,,,,
688067.SH,20260429,20251231,30042200.31,,,,,,,,,
000547.SZ,20260429,20251231,-1455643058.5,,,,,,,,,
002164.SZ,20260429,20251231,208357315.21,,,,,,,,,
603839.SH,20260429,20251231,-193899650.61,,,,,,,,,
002875.SZ,20260429,20251231,-95107701.49,,,,,,,,,
003003.SZ,20260429,20251231,70861429.41,,,,,,,,,
300192.SZ,20260429,20251231,152122105.42,,,,,,,,,
301662.SZ,20260429,20251231,47878275.1,,,,,,,,,
300830.SZ,20260429,20251231,-102925706.81,,,,,,,,,
920010.BJ,20260429,20251231,32345313.79,,,,,,,,,
300405.SZ,20260429,20251231,-68750786.36,,,,,,,,,
000564.SZ,20260429,20251231,-1828422192.6,,,,,,,,,
001359.SZ,20260429,20251231,285128495.32,,,,,,,,,
000923.SZ,20260429,20251231,1102614167.27,,,,,,,,,
300051.SZ,20260429,20251231,-333660125.69,,,,,,,,,
300878.SZ,20260429,20251231,-201543423.63,,,,,,,,,
300597.SZ,20260429,20251231,-103451906.69,,,,,,,,,
300132.SZ,20260429,20251231,186406236.55,,,,,,,,,
301053.SZ,20260429,20251231,16911376.87,,,,,,,,,
603933.SH,20260429,20251231,34042136.31,,,,,,,,,
301396.SZ,20260429,20251231,22668319.49,,,,,,,,,
000557.SZ,20260429,20251231,355673324.37,,,,,,,,,
300959.SZ,20260429,20251231,3400197.49,,,,,,,,,
301297.SZ,20260429,20251231,513657281.18,,,,,,,,,
003037.SZ,20260429,20251231,91542461.37,,,,,,,,,
002806.SZ,20260429,20251231,-27974958.09,,,,,,,,,
300588.SZ,20260429,20251231,-25818053.59,,,,,,,,,
688286.SH,20260429,20251231,38249157.28,,,,,,,,,
301149.SZ,20260429,20251231,160496644.35,,,,,,,,,
002132.SZ,20260429,20251231,-12954799.37,,,,,,,,,
605099.SH,20260429,20251231,732758839.43,,,,,,,,,
001323.SZ,20260429,20251231,618328580.31,,,,,,,,,
000733.SZ,20260429,20251231,1176747807.86,,,,,,,,,
301353.SZ,20260429,20251231,78839257.07,,,,,,,,,
002074.SZ,20260429,20251231,2345110563.69,,,,,,,,,
300382.SZ,20260429,20251231,-100169931.16,,,,,,,,,
600037.SH,20260429,20251231,42006607.4,,,,,,,,,
002081.SZ,20260429,20251231,496002166.67,,,,,,,,,
002887.SZ,20260429,20251231,146577612.01,,,,,,,,,
603172.SH,20260429,20251231,59401893.81,,,,,,,,,
002440.SZ,20260429,20251231,809682718.98,,,,,,,,,
002973.SZ,20260429,20251231,275206121.33,,,,,,,,,
300672.SZ,20260429,20251231,-276946515.98,,,,,,,,,
002520.SZ,20260429,20251231,-200935616.8,,,,,,,,,
300581.SZ,20260429,20251231,-82307211.12,,,,,,,,,
600439.SH,20260429,20251231,-72673781.35,,,,,,,,,
002661.SZ,20260429,20251231,96980954.35,,,,,,,,,
300272.SZ,20260429,20251231,110291146.03,,,,,,,,,
000603.SZ,20260429,20251231,837110909.6,,,,,,,,,
002613.SZ,20260429,20251231,48437841.44,,,,,,,,,
002011.SZ,20260429,20251231,1210364347.62,,,,,,,,,
300969.SZ,20260429,20251231,189380679.11,,,,,,,,,
002654.SZ,20260429,20251231,10823275.42,,,,,,,,,
000720.SZ,20260429,20251231,-495522322.73,,,,,,,,,
300923.SZ,20260429,20251231,39456724.99,,,,,,,,,
301215.SZ,20260429,20251231,245551145.97,,,,,,,,,
300961.SZ,20260429,20251231,-125796600.79,,,,,,,,,
003031.SZ,20260429,20251231,693560824.71,,,,,,,,,
301658.SZ,20260429,20251231,118668486.46,,,,,,,,,
600025.SH,20260429,20251231,10826311146.76,,,,,,,,,
603669.SH,20260429,20251231,-195973853.02,,,,,,,,,
603033.SH,20260429,20251231,-346201741.25,,,,,,,,,
002805.SZ,20260429,20251231,-542339215.37,,,,,,,,,
920436.BJ,20260429,20251231,-19507036.95,,,,,,,,,
300439.SZ,20260429,20251231,33265221.82,,,,,,,,,
603282.SH,20260429,20251231,110705506.26,,,,,,,,,
688590.SH,20260429,20251231,-110228163.52,,,,,,,,,
002346.SZ,20260429,20251231,576472913.3,,,,,,,,,
002927.SZ,20260429,20251231,-4073767.81,,,,,,,,,
002079.SZ,20260429,20251231,91454134.08,,,,,,,,,
