ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
002238.SZ,20081231,676819386.22,110199404.0
002241.SZ,20081231,1009553961.99,257822529.93
002242.SZ,20081231,5384110967.48,265118776.0
002243.SZ,20081231,617944111.97,77555755.08
002244.SZ,20081231,2673065599.98,29223926.79
002247.SZ,20081231,250174853.7,45643415.87
002248.SZ,20081231,360845447.85,148154221.41
002250.SZ,20081231,1054608137.31,164773184.57
002251.SZ,20081231,5801962579.13,283896303.93
002252.SZ,20081231,387056692.98,29227412.15
002253.SZ,20081231,124652953.43,29404599.13
002255.SZ,20081231,1203067475.02,46299996.83
002258.SZ,20081231,330867609.01,81227310.75
002259.SZ,20081231,593146988.81,211596998.33
002263.SZ,20081231,1376550821.82,16537085.14
002264.SZ,20081231,2863714819.64,111501431.07
002265.SZ,20081231,245385159.34,33971806.41
002266.SZ,20081231,664675828.23,163652325.57
002268.SZ,20081231,214388433.94,5573847.16
002269.SZ,20081231,5125730090.0,712533845.0
002270.SZ,20081231,340483905.62,56141582.28
300370.SZ,20081231,51490593.94,1534616.33
600001.SH,20081231,38026517447.94,2548271962.05
600004.SH,20081231,2881747433.27,566708815.69
600006.SH,20081231,11935609888.71,474215053.56
600007.SH,20081231,898066613.0,897098340.0
600008.SH,20081231,1673135869.0,582612792.95
600009.SH,20081231,3147937065.1,1770569989.62
600012.SH,20081231,1697092892.46,1233489952.21
600017.SH,20081231,1309265246.74,638463034.51
600019.SH,20081231,233286853216.99,26486944620.35
600022.SH,20081231,33523245501.68,783702004.74
600026.SH,20081231,15931063376.63,6888229532.09
600028.SH,20081231,1717060000000.0,108575000000.0
600033.SH,20081231,2171759649.16,1900868095.94
600039.SH,20081231,1738275580.54,508959667.65
600048.SH,20081231,16361694091.44,23987739.1
600051.SH,20081231,3222897470.0,185762456.75
600053.SH,20081231,323164218.61,2467588.19
600055.SH,20081231,643882183.14,30449395.35
600056.SH,20081231,4250658207.88,25020925.51
600058.SH,20081231,124634807785.93,3203696610.4
600059.SH,20081231,882934439.41,61498220.5
600061.SH,20081231,1435391988.31,17141474.23
600063.SH,20081231,1649052604.72,240839267.11
600064.SH,20081231,1559670258.8,15669685.76
600067.SH,20081231,4043267281.8,28839513.63
600068.SH,20081231,21031295859.31,3210353272.03
600070.SH,20081231,629483548.27,81000206.41
600071.SH,20081231,962655509.48,60785609.77
600075.SH,20081231,4272672771.77,128542631.4
600076.SH,20081231,13324032.62,4021602.26
600078.SH,20081231,3729661333.9,352057473.45
600079.SH,20081231,1125643624.22,29339846.83
600081.SH,20081231,670752895.42,29702717.86
600082.SH,20081231,594548588.77,416416744.12
600084.SH,20081231,455392779.3,44157466.51
600085.SH,20081231,2594577684.51,40486925.96
600089.SH,20081231,14535907989.07,2524065949.73
600090.SH,20081231,1114740178.27,168916456.47
600095.SH,20081231,444291485.55,7822983.32
600096.SH,20081231,7748048221.54,3328855024.01
600099.SH,20081231,332005823.58,2191498.89
600101.SH,20081231,652582804.01,52144625.09
600102.SH,20081231,23584205322.45,1284750028.12
600106.SH,20081231,533994206.93,17954247.17
600108.SH,20081231,1299177335.8,50494411.53
600109.SH,20081231,,35370467.94
600113.SH,20081231,216645812.79,1475258.18
600114.SH,20081231,737903433.0,216550962.68
600116.SH,20081231,676807047.42,179024770.79
600118.SH,20081231,1636939006.91,189499920.33
600119.SH,20081231,1003047373.47,146863675.97
