ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
300193.SZ,20160227,20160227,20151231,1,1,624870846.08,624870846.08,412489427.16,86244403.32,93040699.77,74851618.36,0.16
002546.SZ,20160225,20160225,20151231,1,1,777010224.26,777010224.26,461686913.33,170050494.27,186045720.09,163620356.22,0.62
300161.SZ,20160223,20160223,20151231,1,1,550736596.41,550736596.41,376770030.86,-123615756.94,-46062275.77,-45277944.39,-0.2557
002643.SZ,20160204,20160204,20151231,1,1,1631042560.0,1631042560.0,1072076772.12,293659423.92,297851580.62,257920619.5,0.78
300132.SZ,20160224,20160224,20151231,1,1,588960344.36,588960344.36,491722544.77,-3047636.88,2667857.01,10900388.78,0.0282
300331.SZ,20160227,20160227,20151231,1,1,365157861.21,365157861.21,262504525.14,-9269320.76,8828464.9,3517931.3,0.05
000980.SZ,20160223,20160223,20151231,1,1,1625866225.37,1625866225.37,1297194831.99,73928020.59,74223877.78,60551105.85,0.11
300191.SZ,20160229,20160229,20151231,1,1,44833200.66,44833200.66,27895359.44,-44447622.88,-44262814.16,-48169061.19,-0.15
002547.SZ,20160225,20160225,20151231,1,1,2117749226.61,2117749226.61,1595873721.63,223720708.73,221657948.07,183091816.53,0.18
002487.SZ,20160229,20160229,20151231,1,1,796455487.04,796455487.04,587054745.06,91308799.99,113170077.31,92669439.29,0.17
300140.SZ,20160225,20160225,20151231,1,1,289775824.87,289775824.87,193411196.1,12089360.78,15054527.02,13700694.33,0.0274
300131.SZ,20160205,20160205,20151231,1,1,1771394932.3,1771394932.3,1589805828.6,47827778.97,52923278.68,37359425.77,0.08
300121.SZ,20160226,20160226,20151231,1,1,860026621.29,860026621.29,652124256.76,46619947.94,49627294.62,39312943.24,0.14
300144.SZ,20160229,20160229,20151231,1,1,1694513980.0,1694513980.0,582067363.27,827826642.08,825125951.62,645445084.58,0.45
300118.SZ,20160223,20160223,20151231,1,1,5259441985.88,5259441985.88,4110819662.5,430639070.06,448010731.85,341769248.15,0.496
300095.SZ,20160227,20160227,20151231,1,1,566014288.05,566014288.05,356343318.59,56350620.98,66351100.67,57274597.5,0.1716
002452.SZ,20160227,20160227,20151231,1,1,663561892.35,663561892.35,458614281.94,75028363.96,79692984.11,67160732.48,0.13
300502.SZ,20160219,20160219,20151231,1,1,615119575.13,615119575.13,446553216.88,105156088.56,110473214.34,94450328.09,1.62
300503.SZ,20160219,20160219,20151231,1,1,221256746.66,221256746.66,104601723.73,37905641.48,49492762.95,43445668.78,0.58
603919.SH,20160222,20160222,20151231,1,1,1182410853.81,1182410853.81,471770384.7,211113354.04,210543640.3,165805813.64,0.79
300505.SZ,20160225,20160225,20151231,1,1,545959540.58,545959540.58,365274727.9,49757509.94,50408915.24,42197837.97,0.6
920946.BJ,20160203,20160203,20151231,1,1,154409101.16,154409101.16,107429548.02,14538867.41,17379177.63,15064731.78,0.27
920885.BJ,20160226,20160226,20151231,1,1,82877000.25,82877000.25,35548069.32,17419090.67,26439749.06,22709701.17,0.75
