ts_code,ann_date,end_date,operate_profit
600025.SH,20200827,20200630,1665631987.54
300024.SZ,20200827,20200630,159159424.33
601808.SH,20200827,20200630,1996588350.0
300679.SZ,20200827,20200630,105829815.16
300296.SZ,20200827,20200630,282857256.77
601068.SH,20200827,20200630,-94723904.36
002130.SZ,20200827,20200630,163137525.12
600039.SH,20200827,20200630,1269739408.37
600981.SH,20200827,20200630,217387417.39
600578.SH,20200827,20200630,1086699134.81
000733.SZ,20200827,20200630,301089539.76
600570.SH,20200827,20200630,364381958.18
600073.SH,20200827,20200630,849075126.54
603218.SH,20200827,20200630,476806826.43
600808.SH,20200827,20200630,969323629.0
002128.SZ,20200827,20200630,2033444423.67
688036.SH,20200827,20200630,1315240794.04
002203.SZ,20200827,20200630,387922618.23
002002.SZ,20200827,20200630,392593963.36
600755.SH,20200827,20200630,2225183342.33
002588.SZ,20200827,20200630,155001867.99
603515.SH,20200827,20200630,292329178.85
002181.SZ,20200827,20200630,30112335.02
601226.SH,20200827,20200630,-20702500.61
603129.SH,20200827,20200630,220377718.29
000598.SZ,20200827,20200630,793185285.15
600528.SH,20200827,20200630,979036145.8
600741.SH,20200827,20200630,1785607941.09
002153.SZ,20200827,20200630,70409923.38
601228.SH,20200827,20200630,751814015.82
600688.SH,20200827,20200630,-2336110000.0
600956.SH,20200827,20200630,1427261866.64
600667.SH,20200827,20200630,426254828.3
688099.SH,20200827,20200630,-52605562.55
002791.SZ,20200827,20200630,334201833.71
002315.SZ,20200827,20200630,61352936.78
002657.SZ,20200827,20200630,-21509635.63
600874.SH,20200827,20200630,338798000.0
000025.SZ,20200827,20200630,32301916.88
002642.SZ,20200827,20200630,10516317.54
002384.SZ,20200827,20200630,621230436.74
002470.SZ,20200827,20200630,75113697.04
600240.SH,20200827,20200630,-224841295.4
600483.SH,20200827,20200630,404696832.19
002048.SZ,20200827,20200630,515635442.82
002431.SZ,20200827,20200630,177408.98
002581.SZ,20200827,20200630,-102271341.75
002512.SZ,20200827,20200630,16436426.26
002273.SZ,20200827,20200630,214052080.1
002544.SZ,20200827,20200630,46410711.25
002625.SZ,20200827,20200630,83002859.01
688599.SH,20200827,20200630,588913278.34
002444.SZ,20200827,20200630,732096416.08
000030.SZ,20200827,20200630,477575719.27
002705.SZ,20200827,20200630,547208819.32
600315.SH,20200827,20200630,220804256.68
002573.SZ,20200827,20200630,147847372.06
002269.SZ,20200827,20200630,-479023229.0
002390.SZ,20200827,20200630,48234970.27
688116.SH,20200827,20200630,38653591.2
002340.SZ,20200827,20200630,284665850.9
002294.SZ,20200827,20200630,233681621.08
600869.SH,20200826,20200630,223084153.73
000667.SZ,20200826,20200630,8594653.76
002352.SZ,20200826,20200630,5348503672.69
002092.SZ,20200826,20200630,-375357453.44
000090.SZ,20200826,20200630,1720732938.97
000697.SZ,20200826,20200630,-124195283.43
603986.SH,20200826,20200630,351260626.71
002463.SZ,20200826,20200630,661671701.0
002382.SZ,20200826,20200630,753735160.13
002773.SZ,20200826,20200630,382478183.33
603826.SH,20200826,20200630,79385486.61
601231.SH,20200826,20200630,564115392.42
601225.SH,20200826,20200630,8243364990.9
000999.SZ,20200826,20200630,1352781430.12
300039.SZ,20200826,20200630,94435137.54
000988.SZ,20200826,20200630,409856083.46
600871.SH,20200826,20200630,454574000.0
