ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
002209.SZ,20190429,20190429,20181231,32558014.13,22538608.04,,,
002773.SZ,20190429,20190429,20181231,350884404.93,458449937.16,,,
002054.SZ,20190429,20190429,20181231,234929927.37,80710916.09,,,
002497.SZ,20190429,20190429,20181231,210986836.6,229761836.11,,,
600721.SH,20190429,20190429,20181231,80553717.37,56025401.11,,,
300297.SZ,20190429,20190429,20181231,169254449.47,1716952237.49,1,1,4
300014.SZ,20190429,20190429,20181231,434494746.67,805990857.12,,,
002083.SZ,20190429,20190429,20181231,520256444.55,558450378.3,,,
002479.SZ,20190429,20190429,20181231,456952627.97,224777362.69,,,
002955.SZ,20190429,20190429,20181231,416082180.35,86982745.44,,,
002444.SZ,20190429,20190429,20181231,792573464.87,150761060.02,,,
603196.SH,20190429,20190429,20181231,-24796854.51,83284744.15,,,
002846.SZ,20190429,20190429,20181231,88409123.62,116751908.77,,,
300334.SZ,20190429,20190429,20181231,27314138.04,118199300.48,,,
002652.SZ,20190429,20190429,20181231,247782916.57,65750645.96,,,
600815.SH,20190429,20190429,20181231,477550347.19,20504963.16,,,
002723.SZ,20190429,20190429,20181231,-50769326.98,13968867.66,,,
002203.SZ,20190429,20190429,20181231,2606546702.86,1278049959.75,,,
002676.SZ,20190429,20190429,20181231,-115062350.73,53506007.53,,,
000507.SZ,20190429,20190429,20181231,378612389.14,342858509.81,,,
002094.SZ,20190429,20190429,20181231,-118805620.23,62256221.44,,,
300775.SZ,20190429,20190429,20181231,79913484.64,30773600.82,,,
002562.SZ,20190429,20190429,20181231,293094049.65,514242890.07,,,
002856.SZ,20190429,20190429,20181231,-272074264.48,14066955.9,,,
002361.SZ,20190429,20190429,20181231,67346158.33,123765396.78,,,
300497.SZ,20190429,20190429,20181231,175913935.13,163886582.21,,,
603327.SH,20190429,20190429,20181231,123235505.36,10237370.69,,,
603680.SH,20190429,20190429,20181231,429098093.86,321003021.8,,,
002864.SZ,20190429,20190429,20181231,46846106.88,20063451.15,,,
300271.SZ,20190429,20190429,20181231,320161309.58,198805155.01,,,
002584.SZ,20190429,20200709,20181231,-97102373.41,15998959.55,,,
002180.SZ,20190429,20190429,20181231,2158916392.53,690856537.56,,,
300779.SZ,20190429,20190429,20181231,50656800.55,24041933.02,,,
000839.SZ,20190429,20190429,20181231,-134146314.13,1297768106.62,,,
002769.SZ,20190429,20190429,20181231,-512397054.95,529351.66,,,
002390.SZ,20190429,20190429,20181231,-218563061.59,263519030.26,,,
002201.SZ,20190429,20190429,20181231,223794257.9,47675920.84,,,
300086.SZ,20190429,20190429,20181231,157658191.82,291681106.1,,,
000571.SZ,20190429,20190429,20181231,-316994086.27,35370226.61,,,
002622.SZ,20190429,20190429,20181231,4229099.44,12219270.17,,,
000998.SZ,20190429,20210430,20181231,-14403400.18,604743117.93,,,
000557.SZ,20190429,20190429,20181231,236417088.87,31798033.46,,,
600338.SH,20190429,20190429,20181231,658470170.57,414988340.12,,,
603883.SH,20190429,20190429,20181231,913025557.0,873405042.0,,,
600485.SH,20190429,20190429,20181231,-49523678.27,10562783.42,1,1,4
002326.SZ,20190429,20190429,20181231,719671411.03,427564030.6,,,
002909.SZ,20190429,20190429,20181231,108396500.4,75447401.1,,,
920062.BJ,20190427,20210904,20181231,-2704651.8,23097758.05,,,
002454.SZ,20190427,20190427,20181231,504646790.39,226395217.63,,,
002161.SZ,20190427,20190427,20181231,-72145367.89,14885293.52,,,
600088.SH,20190427,20190427,20181231,187504984.13,21750505.55,,,
002718.SZ,20190427,20190427,20181231,-79477866.93,199123362.09,,,
300351.SZ,20190427,20190427,20181231,152809533.95,93971377.95,,,
600166.SH,20190427,20190427,20181231,-467636644.9,2573953659.04,,,
002712.SZ,20190427,20190427,20181231,234599779.1,27020522.17,,,
002069.SZ,20190427,20190427,20181231,291428284.8,48455127.73,,,
600936.SH,20190427,20190427,20181231,477026932.41,1048275908.08,,,
603758.SH,20190427,20190427,20181231,224188523.03,88852943.2,,,
002757.SZ,20190427,20190427,20181231,162870340.73,56710843.18,,,
600498.SH,20190427,20190427,20181231,351121931.16,971867104.38,,,
600236.SH,20190427,20190427,20181231,6512431966.84,824533683.95,,,
600759.SH,20190427,20190427,20181231,1357405313.88,601566203.91,,,
000155.SZ,20190427,20190427,20181231,645655344.09,695912499.48,,,
603139.SH,20190427,20190427,20181231,62635269.73,5581538.66,,,
600584.SH,20190427,20190427,20181231,2509192669.07,4311127824.46,,,
002488.SZ,20190427,20190427,20181231,-438838387.8,253464094.37,,,
000078.SZ,20190427,20190427,20181231,-1135175522.92,213510139.62,,,
601058.SH,20190427,20190427,20181231,1998897816.61,509629300.56,,,
002348.SZ,20190427,20190427,20181231,21048874.38,65962480.47,,,
920433.BJ,20190427,20200527,20181231,25076597.7,18705543.05,,,
601858.SH,20190427,20190427,20181231,485405306.18,9917909.12,,,
300434.SZ,20190427,20190427,20181231,199082344.96,26753436.47,,,
002281.SZ,20190427,20190427,20181231,283432121.4,328311690.25,,,
603630.SH,20190427,20190427,20181231,24181388.48,12844239.77,,,
002573.SZ,20190427,20190427,20181231,1062137335.43,294546158.64,,,
600489.SH,20190427,20190427,20181231,2417981827.97,1284649904.37,,,
300254.SZ,20190427,20190427,20181231,38440743.9,29589632.64,,,
920247.BJ,20190427,20210428,20181231,11909021.49,3339836.68,,,
002152.SZ,20190427,20190427,20181231,966933808.21,145091199.71,,,
920871.BJ,20190427,20220101,20181231,15597941.69,6740476.98,,,
603788.SH,20190427,20190427,20181231,246353884.82,29559105.15,,,
002081.SZ,20190427,20190427,20181231,1649422128.02,223199777.35,,,
300035.SZ,20190427,20190427,20181231,-127756018.76,96159984.91,,,
603168.SH,20190427,20190427,20181231,100373495.63,58375494.43,,,
002351.SZ,20190427,20190427,20181231,54596729.0,45613133.71,,,
002833.SZ,20190427,20190427,20181231,300052170.18,55912673.31,,,
300180.SZ,20190427,20190427,20181231,108670811.14,683619421.11,,,
000546.SZ,20190427,20190427,20181231,540786231.19,579971701.97,,,
603318.SH,20190427,20190427,20181231,-68934670.23,149025664.11,,,
603117.SH,20190427,20190427,20181231,-672457970.53,88821321.28,,,
600020.SH,20190427,20190427,20181231,4609528029.39,1154334407.85,,,
002729.SZ,20190427,20190427,20181231,21974319.67,1749560.9,,,
002150.SZ,20190427,20190427,20181231,139841403.6,78454606.86,,,
002345.SZ,20190427,20190427,20181231,322549021.79,196717900.38,,,
920821.BJ,20190427,20220312,20181231,29934571.95,18275559.47,,,
601669.SH,20190427,20190427,20181231,19183407287.2,58119829362.56,,,
920943.BJ,20190427,20220401,20181231,25232465.47,13527487.69,,,
002374.SZ,20190427,20190427,20181231,-385434540.48,124379691.1,,,
300461.SZ,20190427,20190427,20181231,140265552.01,42664356.99,,,
002261.SZ,20190427,20190427,20181231,20240132.59,83926803.61,,,
603626.SH,20190427,20190427,20181231,328027016.51,901488603.11,,,
603203.SH,20190427,20190427,20181231,137132118.29,19075797.05,,,
600993.SH,20190427,20190427,20181231,308243561.19,24963668.79,,,
000639.SZ,20190427,20190427,20181231,1192994534.56,32103400.77,,,
600468.SH,20190427,20190427,20181231,94205595.31,34350169.84,,,
002173.SZ,20190427,20190427,20181231,129436968.22,399868851.5,,,
000935.SZ,20190427,20190427,20181231,693782464.23,40003600.49,,,
300022.SZ,20190427,20190427,20181231,31918630.37,19243546.2,,,
000428.SZ,20190427,20190427,20181231,137142824.34,232982905.89,,,
603861.SH,20190427,20190427,20181231,-141189488.81,297640716.1,,,
002901.SZ,20190427,20190427,20181231,334876268.42,103380606.71,,,
000809.SZ,20190427,20190427,20181231,211690678.07,5445322.85,,,
603178.SH,20190427,20190427,20181231,213634208.19,302055641.39,,,
000543.SZ,20190427,20190427,20181231,1367348095.07,774403289.22,,,
603628.SH,20190427,20190427,20181231,69611017.28,208983458.93,,,
002855.SZ,20190427,20190427,20181231,202293530.22,352071029.73,,,
002440.SZ,20190427,20190427,20181231,1226450769.95,752264906.65,,,
600715.SH,20190427,20190427,20181231,-661469790.23,141510106.19,,,
600718.SH,20190427,20190427,20181231,328552364.0,573082306.0,,,
