ts_code,ann_date,end_date,total_liab,money_cap,total_assets
688321.SH,20231031,20230930,1422291449.09,361592162.79,3154223840.56
600406.SH,20231031,20230930,29192136793.13,12209152719.09,76395601796.11
000547.SZ,20231031,20230930,4326285145.97,1045543452.9,13877052069.6
000553.SZ,20231031,20230930,35597629000.0,5294442000.0,58239864000.0
000555.SZ,20231031,20230930,5553903918.01,906707614.85,11793247472.64
000027.SZ,20231031,20230930,95637061941.89,9162021092.39,153200503191.3
002387.SZ,20231031,20230930,25844901252.83,5087314281.42,37973110576.4
002268.SZ,20231031,20230930,1673338267.58,1551558990.81,6940834729.5
000046.SZ,20231031,20230930,98166924967.86,1630402006.91,90674943433.27
688008.SH,20231031,20230930,484820714.73,5726783623.46,10619712403.47
600016.SH,20231031,20230930,6887701000000.0,,7522077000000.0
600690.SH,20231031,20230930,144242249693.54,52149043095.58,245891519568.64
600837.SH,20231031,20230930,555936549675.82,136229054975.81,736172996197.44
601988.SH,20231031,20230930,29074713000000.0,,31764820000000.0
002411.SZ,20231031,20230930,7839061848.36,268271879.92,12349080836.03
002371.SZ,20231031,20230930,29567769678.04,11605457086.7,52530272087.98
000627.SZ,20231031,20230930,272500619377.17,25634594803.27,306203680162.83
601399.SH,20231031,20230930,14881291264.77,7567182536.04,29391467982.31
600617.SH,20231031,20230930,25298127296.46,3128720256.0,29251212614.37
600887.SH,20231031,20230930,93063508501.08,46925321380.07,149156478447.54
600628.SH,20231031,20230930,1446338732.03,1164716754.54,5690617217.02
002382.SZ,20231031,20230930,5412232421.82,1177383706.08,15346327567.88
002408.SZ,20231031,20230930,14138860436.01,3877666425.57,27953531103.46
002050.SZ,20231031,20230930,12915545628.76,6013626370.28,30333179932.84
000977.SZ,20231031,20230930,34482391724.02,9526150675.72,51788946879.75
000538.SZ,20231031,20230930,13444886552.87,13086769626.75,53332349176.43
601019.SH,20231031,20230930,8438662676.74,6888759064.16,22207951945.52
000727.SZ,20231031,20230930,28050044265.43,3784214419.28,37392555795.36
002460.SZ,20231031,20230930,38777746556.17,9672492265.05,92862318954.04
000768.SZ,20231031,20230930,64138198915.05,5780759049.39,80864509266.91
603259.SH,20231031,20230930,19770878845.6,9448561845.32,71759281237.93
002459.SZ,20231031,20230930,65481410232.42,16953817337.9,103999178852.36
000572.SZ,20231031,20230930,3825871578.67,594879746.99,6634742479.1
600378.SH,20231031,20230930,6667217220.59,2376008342.92,15019238641.88
601106.SH,20231031,20230930,33247503174.18,1826339913.11,45175460576.48
000792.SZ,20231031,20230930,15804050905.45,20473982955.42,50121338778.69
600098.SH,20231031,20230930,40049721095.14,4802375997.42,67993071066.16
000690.SZ,20231031,20230930,9209448048.49,6300180083.23,21092135622.49
000157.SZ,20231031,20230930,79899633648.23,15595386399.37,136730233792.0
603233.SH,20231031,20230930,13561313470.37,3694138087.51,21432128647.89
688065.SH,20231031,20230930,3531009310.2,5819930024.96,18797751335.75
