trade_date,adj_close
20201020,7.012312999999999
20201019,7.0712399999999995
20201016,7.189093999999999
20201015,7.130166999999999
20201014,7.189093999999999
20201013,7.306947999999999
20201012,7.365874999999999
20201009,7.248021
20200930,7.0712399999999995
20200929,7.130166999999999
20200928,7.130166999999999
20200925,7.189093999999999
20200924,7.0712399999999995
20200923,7.365874999999999
20200922,7.542656
20200921,7.719437
20200918,7.719437
20200917,7.6605099999999995
20200916,7.6605099999999995
20200915,7.6605099999999995
20200914,7.896218
20200911,7.837291
20200910,7.778364
20200909,8.072999
20200908,8.190852999999999
20200907,7.837291
20200904,7.837291
20200903,7.837291
20200902,7.778364
20200901,7.837291
20200831,7.837291
20200828,7.837291
20200827,7.778364
20200826,7.6605099999999995
20200825,8.072999
20200824,8.190852999999999
20200821,8.24978
20200820,8.24978
20200819,8.308706999999998
20200818,8.485487999999998
20200817,8.367633999999999
20200814,8.426561
20200813,8.131925999999998
20200812,8.014072
20200811,8.072999
20200810,8.24978
20200807,8.426561
20200806,8.83905
20200805,8.426561
20200804,8.014072
20200803,7.896218
20200731,7.719437
20200730,7.896218
20200729,7.601583
20200728,7.542656
20200727,7.189093999999999
20200724,7.189093999999999
20200723,7.365874999999999
20200722,7.483728999999999
20200721,7.601583
20200720,7.424802
20200717,7.0712399999999995
20200716,7.130166999999999
20200715,7.306947999999999
20200714,7.719437
20200713,7.542656
20200710,7.424802
20200709,7.130166999999999
20200708,7.012312999999999
20200707,6.8944589999999994
20200706,6.8944589999999994
20200703,6.658750999999999
20200702,6.658750999999999
20200701,6.717677999999999
20200630,6.540897
20200629,6.540897
20200624,6.658750999999999
20200623,6.658750999999999
20200622,6.658750999999999
20200619,6.835531999999999
20200618,6.776604999999999
20200617,6.658750999999999
20200616,6.658750999999999
20200615,6.540897
20200612,6.599824
20200611,6.717677999999999
20200610,6.835531999999999
20200609,6.953385999999999
20200608,6.8944589999999994
20200605,7.189093999999999
20200604,6.835531999999999
20200603,6.717677999999999
20200602,6.4819700000000005
20200601,6.540897
20200529,6.423043
20200528,6.423043
20200527,6.599824
20200526,6.4819700000000005
20200525,6.364116
20200522,6.187335
20200521,6.187335
20200520,6.364116
20200519,6.717677999999999
20200518,6.423043
20200515,6.599824
20200514,6.8944589999999994
20200513,6.540897
20200512,6.246262
20200511,6.187335
20200508,6.540897
20200507,6.8944589999999994
20200506,7.248021
20200430,7.601583
20200428,8.014072
20200427,8.426561
20200424,8.721195999999999
20200423,9.133685
20200422,9.369393
20200421,9.251539
20200420,9.487247
20200417,9.546174
20200416,9.605101
20200415,9.605101
20200414,9.781882
20200413,9.546174
20200410,9.899735999999999
20200409,10.371151999999999
20200408,10.017589999999998
20200407,10.076516999999999
20200403,9.840808999999998
20200402,10.076516999999999
20200401,10.489006
20200331,11.078275999999999
20200330,11.549691999999999
20200327,12.138962
20200326,11.7854
20200325,11.726472999999999
20200324,11.431837999999999
20200323,11.372910999999998
20200320,11.903253999999999
20200319,11.844326999999998
20200318,11.7854
20200317,12.315742999999998
20200316,12.669304999999998
20200313,13.671063999999998
20200312,13.376429
20200311,14.378187999999998
20200310,13.081794
20200309,12.669304999999998
20200306,13.317501999999998
20200305,13.081794
20200304,12.37467
20200303,12.492524
20200302,12.669304999999998
20200228,12.433596999999999
20200227,13.258574999999999
20200226,13.494283
20200225,13.199648
20200224,13.494283
20200221,13.494283
20200220,13.435355999999999
20200219,13.081794
20200218,13.081794
20200217,12.728232
20200214,12.256815999999999
20200213,12.37467
20200212,12.669304999999998
20200211,12.433596999999999
20200210,12.256815999999999
20200207,11.962180999999998
20200206,11.844326999999998
20200205,11.608619
20200204,11.078275999999999
20200203,11.608619
20200123,12.905012999999999
20200122,14.083553
20200121,15.674582
20200120,16.028144
20200117,16.145998
20200116,16.028144
20200115,16.204925
20200114,16.381705999999998
20200113,16.676341
20200110,16.912049
20200109,17.029903
20200108,16.794195
20200107,17.6781
20200106,16.087070999999998
20200103,16.145998
20200102,16.028144
20191231,15.616449999999999
20191230,15.498589999999998
20191227,15.67538
20191226,15.734309999999999
20191225,15.616449999999999
20191224,15.734309999999999
20191223,15.43966
20191220,15.79324
20191219,16.087889999999998
20191218,15.85217
20191217,15.911100000000001
20191216,15.55752
20191213,15.20394
20191212,15.086079999999999
20191211,15.55752
20191210,16.087889999999998
20191209,15.43966
20191206,15.616449999999999
20191205,15.43966
20191204,15.14501
20191203,15.20394
20191202,14.96822
20191129,14.96822
20191128,14.909289999999999
20191127,15.027149999999999
20191126,15.3218
20191125,15.26287
20191122,15.67538
20191121,15.616449999999999
20191120,15.498589999999998
20191119,15.26287
20191118,15.027149999999999
20191115,14.96822
20191114,15.20394
20191113,15.027149999999999
20191112,15.14501
20191111,14.96822
20191108,15.498589999999998
20191107,15.380729999999998
20191106,15.14501
20191105,15.498589999999998
20191104,15.43966
20191101,15.67538
20191031,15.43966
20191030,15.79324
20191029,16.55933
20191028,17.620070000000002
20191025,16.02896
20191024,16.14682
20191023,15.911100000000001
20191022,15.97003
20191021,15.911100000000001
20191018,16.02896
20191017,16.5004
20191016,16.44147
20191015,16.79505
20191014,17.14863
20191011,16.67719
20191010,16.97184
20191009,17.03077
20191008,17.03077
20190930,18.8576
20190927,20.92015
20190926,23.21842
20190925,21.09694
20190924,19.15225
20190923,17.38435
20190920,17.73793
20190919,17.679
20190918,17.443279999999998
20190917,17.38435
20190916,18.09151
20190912,18.38616
20190911,17.91472
20190910,17.73793
20190909,17.443279999999998
20190906,17.26649
20190905,17.91472
20190904,17.26649
20190903,17.325419999999998
20190902,17.561139999999998
20190830,16.5004
20190829,17.0897
20190828,17.14863
20190827,17.03077
20190826,16.5004
20190823,16.44147
20190822,16.61826
20190821,16.32361
20190820,16.5004
20190819,16.26468
20190816,15.67538
20190815,15.67538
20190814,15.734309999999999
20190813,15.55752
20190812,15.79324
20190809,15.616449999999999
20190808,15.85217
20190807,15.85217
20190806,15.380729999999998
20190805,16.32361
20190802,16.38254
20190801,16.85398
20190731,16.85398
20190730,17.14863
20190729,16.91291
20190726,16.97184
20190725,16.97184
20190724,17.14863
20190723,17.14863
20190722,17.325419999999998
20190719,18.15044
20190718,18.09151
20190717,18.62188
20190716,18.680809999999997
20190715,18.44509
20190712,18.2683
20190711,18.38616
20190710,18.32723
20190709,18.62188
20190708,18.680809999999997
20190705,19.56476
20190704,19.68262
20190703,19.50583
20190702,19.85941
20190701,19.56476
20190628,18.916529999999998
20190627,19.74155
20190626,19.56476
