trade_date,adj_close,adj_factor,ts_code,close
20220622,58.30356,1.0,,
20220623,58.163993999999995,1.0,,
20220624,58.442958,1.0,,
20220627,58.442958,1.0,,
20220628,58.582440000000005,1.0,,
20220629,57.466584000000005,1.0,,
20220630,57.466584000000005,1.0,,
20220701,57.327102,1.0,,
20220704,57.187619999999995,1.0,,
20220705,56.76917400000001,1.0,,
20220706,56.211246,1.0,,
20220707,56.49021,1.0,,
20220708,56.62969199999999,1.0,,
20220711,57.466584000000005,1.0,,
20220712,59.00088600000001,1.0,,
20220713,60.81415200000001,1.0,,
20220714,60.395706,1.0,,
20220715,58.303476,1.0,,
20220718,60.67466999999999,1.0,,
20220719,61.93000800000001,1.0,,
20220720,62.627418000000006,1.0,,
20220721,62.906381999999994,1.0,,
20220722,66.53291399999999,1.0,,
20220725,66.81187800000001,1.0,,
20220726,66.25395,1.0,,
20220727,65.41705800000001,1.0,,
20220728,64.16171999999999,1.0,,
20220729,63.045863999999995,1.0,,
20220801,62.06949,1.0,,
20220802,59.27985,1.0,,
20220803,58.721922,1.0,,
20220804,59.55881399999999,1.0,,
20220805,59.698296000000006,1.0,,
20220808,58.86140399999999,1.0,,
20220809,58.303476,1.0,,
20220810,58.582440000000005,1.0,,
20220811,59.698296000000006,1.0,,
20220812,59.55881399999999,1.0,,
20220815,59.140368,1.0,,
20220816,59.419332,1.0,,
20220817,59.837778,1.0,,
20220818,58.582440000000005,1.0,,
20220819,58.86140399999999,1.0,,
20220822,59.419332,1.0,,
20220823,59.27985,1.0,,
20220824,58.442958,1.0,,
20220825,59.698296000000006,1.0,,
20220826,59.55881399999999,1.0,,
20220829,58.303476,1.0,,
20220830,59.419332,1.0,,
20220831,58.303476,1.0,,
20220901,58.582440000000005,1.0,,
20220902,58.86140399999999,1.0,,
20220905,60.116741999999995,1.0,,
20220906,60.953634,1.0,,
20220907,60.395706,1.0,,
20220908,60.67466999999999,1.0,,
20220909,60.67466999999999,1.0,,
20220913,60.256224,1.0,,
20220914,59.837778,1.0,,
20220915,59.27985,1.0,,
20220916,57.74554799999999,1.0,,
20220919,57.74554799999999,1.0,,
20220920,57.327102,1.0,,
20220921,58.442958,1.0,,
20220922,57.74554799999999,1.0,,
20220923,56.76917400000001,1.0,,
20220926,54.119015999999995,1.0,,
20220927,55.374354,1.0,,
