trade_date,adj_close,adj_factor,ts_code,close
20161209,49.51773,1.0,,
20161212,48.21933,1.0,,
20161213,48.46278,1.0,,
20161214,48.33294,1.0,,
20161215,48.25179,1.0,,
20161216,48.39786,1.0,,
20161219,48.2031,1.0,,
20161220,47.2293,1.0,,
20161221,47.196839999999995,1.0,,
20161222,47.52144,1.0,,
20161223,47.01831,1.0,,
20161226,47.34291,1.0,,
20161227,47.40783,1.0,,
20161228,47.52144,1.0,,
20161229,47.45652,1.0,,
20161230,47.78112,1.0,,
20170103,48.13818,1.0,,
20170104,48.17064,1.0,,
20170105,48.0408,1.0,,
20170106,47.76489,1.0,,
20170109,48.28425,1.0,,
20170110,47.94342,1.0,,
20170111,47.84604,1.0,,
20170112,47.63505,1.0,,
20170113,48.43032,1.0,,
20170116,49.3392,1.0,,
20170117,48.46278,1.0,,
20170118,48.5277,1.0,,
20170119,48.154410000000006,1.0,,
20170120,49.16067,1.0,,
20170123,49.77741,1.0,,
20170124,49.72872,1.0,,
20170125,50.28054,1.0,,
20170126,51.91977,1.0,,
20170203,52.374210000000005,1.0,,
20170206,53.08833,1.0,,
20170207,52.763729999999995,1.0,,
20170208,53.932289999999995,1.0,,
20170209,54.61395,1.0,,
20170210,54.01344,1.0,,
20170213,53.36424,1.0,,
20170214,53.52654,1.0,,
20170215,53.18571000000001,1.0,,
20170216,53.13702,1.0,,
20170217,53.38047,1.0,,
20170220,54.27312,1.0,,
20170221,54.240660000000005,1.0,,
20170222,54.51657000000001,1.0,,
20170223,54.500339999999994,1.0,,
20170224,53.68884,1.0,,
20170227,53.41293,1.0,,
20170228,53.705070000000006,1.0,,
20170301,54.01344,1.0,,
20170302,53.3967,1.0,,
20170303,53.46162,1.0,,
20170306,53.38047,1.0,,
20170307,53.348009999999995,1.0,,
20170308,53.62392,1.0,,
20170309,53.15325,1.0,,
20170310,53.867369999999994,1.0,,
20170313,54.27312,1.0,,
20170314,53.57523,1.0,,
20170315,53.234399999999994,1.0,,
20170316,53.00717999999999,1.0,,
20170317,52.86111,1.0,,
20170320,53.12078999999999,1.0,,
20170321,54.6951,1.0,,
20170322,54.30558,1.0,,
20170323,54.02967,1.0,,
20170324,55.24692,1.0,,
20170327,55.668899999999994,1.0,,
20170328,55.16577,1.0,,
20170329,54.46788,1.0,,
20170330,53.283089999999994,1.0,,
20170331,53.16948,1.0,,
20170405,53.38047,1.0,,
20170406,52.7475,1.0,,
20170407,52.84488,1.0,,
20170410,51.88731,1.0,,
20170411,52.08207000000001,1.0,,
20170412,52.2606,1.0,,
20170413,53.31555,1.0,,
20170414,53.10456,1.0,,
20170417,52.958490000000005,1.0,,
20170418,53.559,1.0,,
20170419,53.072100000000006,1.0,,
20170420,53.81867999999999,1.0,,
20170421,54.43542,1.0,,
20170424,53.54277,1.0,,
20170425,54.30558,1.0,,
20170426,53.15325,1.0,,
20170427,52.29306,1.0,,
20170428,51.91977,1.0,,
20170502,51.96846000000001,1.0,,
20170503,50.588910000000006,1.0,,
20170504,50.91351,1.0,,
20170505,51.04335,1.0,,
20170508,50.97843,1.0,,
20170509,50.62137,1.0,,
20170510,50.75121,1.0,,
20170511,50.97843,1.0,,
20170512,51.1245,1.0,,
20170515,51.70878,1.0,,
20170516,51.70878,1.0,,
20170517,51.74124,1.0,,
20170518,52.04961,1.0,,
20170519,52.29306,1.0,,
20170522,53.03964,1.0,,
20170523,52.63389,1.0,,
20170524,51.75747,1.0,,
20170525,55.79874,1.0,,
20170526,54.500339999999994,1.0,,
20170531,53.83491,1.0,,
20170601,53.78622,1.0,,
20170602,53.49408,1.0,,
20170605,54.61395,1.0,,
20170606,53.78622,1.0,,
20170607,54.27312,1.0,,
20170608,55.63644,1.0,,
20170609,57.08091,1.0,,
20170612,56.4804,1.0,,
20170613,56.139570000000006,1.0,,
20170614,55.68513,1.0,,
20170615,56.1558,1.0,,
20170616,55.149539999999995,1.0,,
20170619,55.03592999999999,1.0,,
20170620,55.11708,1.0,,
20170621,56.25317999999999,1.0,,
20170622,55.084619999999994,1.0,,
